Stop_stn,Ride_time,sub
FX_2,07:32:40,0 days 00:00:00
FMU_1,07:36:59,0 days 00:04:19
EIB_1,07:38:20,0 days 00:05:40
EAN_1,07:40:27,0 days 00:07:47
BKQ_1,07:42:12,0 days 00:09:32
CDL_1,07:44:57,0 days 00:12:17
FMO_1,07:46:10,0 days 00:13:30
FMP_1,07:49:08,0 days 00:16:28
CJK_1,07:53:57,0 days 00:21:17
CIG_1,07:54:39,0 days 00:21:59
AMG_1,08:02:34,0 days 00:29:54
BHN_1,08:06:14,0 days 00:33:34
VW_1,08:08:37,0 days 00:35:57
EJU_1,08:09:59,0 days 00:37:19
FMT_1,08:11:58,0 days 00:39:18
FMV_1,08:13:32,0 days 00:40:52
EJG_1,16:47:04,0 days 00:17:17
ERB_1,16:55:15,0 days 00:23:08
CTP_1,16:57:05,0 days 00:21:30
FMW_1,18:15:29,0 days 00:04:14
