Stop_stn,Ride_time,sub
OR_1,06:16:32,0 days 00:00:00
BBC_1,06:18:08,0 days 00:01:36
BWP_1,06:19:35,0 days 00:03:03
DXK_1,06:21:57,0 days 00:05:25
CK_1,06:23:26,0 days 00:06:54
ABL_1,06:25:43,0 days 00:09:11
EOP_1,06:28:57,0 days 00:12:25
EUA_1,06:30:10,0 days 00:13:38
OW_1,06:31:21,0 days 00:14:49
AGC_1,06:33:19,0 days 00:16:47
IM_1,06:36:11,0 days 00:19:39
VB_1,06:40:29,0 days 00:23:57
OL_1,06:41:50,0 days 00:25:18
CZI_1,06:43:24,0 days 00:26:52
CC_1,06:45:26,0 days 00:28:54
CVR_1,06:48:11,0 days 00:31:39
IU_1,06:50:12,0 days 00:33:40
