Stop_stn,Ride_time,sub
CWQ_1,20:38:05,0 days 00:00:00
BSZ_1,20:40:35,0 days 00:02:30
DV_2,20:43:01,0 days 00:04:56
CMO_1,20:45:31,0 days 00:07:26
BFH_1,20:47:14,0 days 00:09:09
AD_2,20:50:04,0 days 00:11:59
PP_1,20:50:58,0 days 00:12:53
BYV_1,20:51:49,0 days 00:13:44
LU_2,20:54:04,0 days 00:15:59
BSJ_1,20:54:32,0 days 00:16:27
AH_3,20:55:18,0 days 00:17:13
NP_2,20:56:41,0 days 00:18:36
DDZ_1,20:59:40,0 days 00:21:35
AA_3,21:01:21,0 days 00:23:16
VM_1,21:02:56,0 days 00:24:51
NO_2,21:04:04,0 days 00:25:59
DRG_1,21:05:07,0 days 00:06:55
FCD_1,21:06:16,0 days 00:28:11
TP_1,21:06:54,0 days 00:28:49
EZH_1,21:08:46,0 days 00:30:41
DDU_1,21:10:02,0 days 00:31:57
DMK_1,21:12:34,0 days 00:34:29
CQR_1,21:13:32,0 days 00:35:27
AXC_1,21:16:16,0 days 00:38:11
DJG_1,21:18:17,0 days 00:40:12
AFA_1,21:21:42,0 days 00:43:37
AXU_1,21:24:00,0 days 00:45:55
CAL_1,21:26:53,0 days 00:48:48
ATC_1,21:27:53,0 days 00:49:48
ASI_1,21:29:07,0 days 00:51:02
ON_1,21:31:35,0 days 00:53:30
CAC_1,21:32:12,0 days 00:54:07
FA_1,21:34:41,0 days 00:56:36
EVS_1,21:37:04,0 days 00:58:59
RK_1,21:37:59,0 days 00:59:54
PI_2,21:39:08,0 days 01:01:03
AN_4,21:40:25,0 days 01:02:20
EHW_1,21:43:42,0 days 01:05:37
BHQ_1,21:44:50,0 days 00:45:06
GM_1,21:45:20,0 days 00:05:42
CGN_1,21:46:22,0 days 00:02:04
UL_1,21:46:24,0 days 01:08:19
NP_1,21:47:15,0 days 01:09:10
FD_2,21:47:45,0 days 00:19:18
ESC_1,21:48:51,0 days 01:10:46
LU_1,21:49:51,0 days 01:11:46
APT_1,21:51:04,0 days 01:12:59
BSA_1,21:52:13,0 days 01:14:08
ATJ_1,21:52:16,0 days 00:22:55
AD_1,21:54:13,0 days 01:16:08
FNA_1,21:56:54,0 days 01:18:49
AZH_1,21:57:39,0 days 01:19:34
CJT_1,21:58:57,0 days 01:20:52
DV_1,22:00:12,0 days 01:22:07
BQM_1,22:01:56,0 days 01:23:51
EKL_1,22:03:19,0 days 01:25:14
NS_2,22:05:17,0 days 01:27:12
CCE_1,22:08:01,0 days 01:29:56
BQ_2,22:09:09,0 days 01:31:04
GF_2,22:11:33,0 days 01:12:33
CWS_1,22:21:49,0 days 00:24:12
KI_1,22:37:23,0 days 01:38:16
GE_2,22:41:40,0 days 01:00:24
