Stop_stn,Ride_time,sub
CKD_1,07:47:29,0 days 00:02:54
BYF_1,07:53:11,0 days 00:00:00
CJF_1,07:54:20,0 days 00:01:09
ERA_1,07:56:03,0 days 00:02:52
CPE_1,07:57:25,0 days 00:04:14
CDB_1,07:58:13,0 days 00:05:02
CXO_1,07:59:04,0 days 00:05:53
ARI_1,07:59:54,0 days 00:06:43
DPT_1,08:00:54,0 days 00:07:43
BRP_1,08:02:18,0 days 00:09:07
BIA_1,08:02:58,0 days 00:09:47
ELB_1,08:05:31,0 days 00:12:20
CWT_1,08:07:13,0 days 00:14:02
AQT_1,08:08:37,0 days 00:15:26
EBJ_1,08:09:49,0 days 00:16:38
BBO_1,08:11:02,0 days 00:17:51
CWC_1,08:12:19,0 days 00:19:08
CQE_1,08:13:08,0 days 00:19:57
WA_1,08:15:12,0 days 00:22:01
AFH_1,08:16:59,0 days 00:23:48
DOQ_1,08:19:19,0 days 00:26:08
EIN_1,08:20:02,0 days 00:26:51
JL_2,08:22:30,0 days 00:29:19
BED_1,08:36:31,0 days 00:43:20
CBU_1,08:39:43,0 days 00:46:32
ENW_1,08:44:19,0 days 00:51:08
CTI_1,08:48:13,0 days 00:55:02
DBB_1,08:50:09,0 days 00:56:58
CSX_1,08:52:56,0 days 00:59:45
