Stop_stn,Ride_time,sub
KY_2,18:04:49,0 days 00:00:00
BKX_1,18:07:11,0 days 00:02:22
EGL_1,18:09:26,0 days 00:04:37
DJ_2,18:10:13,0 days 00:05:24
SM_1,18:11:50,0 days 00:07:01
PI_1,18:12:53,0 days 00:08:04
BZ_2,18:13:54,0 days 00:09:05
ND_1,18:16:19,0 days 00:11:30
C_2,18:19:33,0 days 00:14:44
S_3,18:21:33,0 days 00:16:44
EZO_1,18:23:47,0 days 00:18:58
FBS_1,18:24:38,0 days 00:19:49
EZP_1,18:27:40,0 days 00:22:51
AG_2,18:29:06,0 days 00:24:17
DAP_1,18:31:58,0 days 00:27:09
BIU_1,18:33:19,0 days 00:28:30
M_4,18:35:21,0 days 00:30:32
LD_1,18:36:34,0 days 00:31:45
LF_2,18:37:23,0 days 00:32:34
CF_2,18:39:22,0 days 00:34:33
CVN_1,18:40:44,0 days 00:35:55
DWR_1,18:41:36,0 days 00:36:47
