Stop_stn,Ride_time,sub
DXC_1,06:38:45,0 days 00:55:03
XY_1,06:58:00,0 days 01:00:26
BLX_1,06:58:51,0 days 00:45:44
BLJ_1,07:00:39,0 days 01:04:02
CWN_1,07:06:30,0 days 00:50:40
ESU_1,07:10:16,0 days 00:43:41
AVQ_1,07:15:00,0 days 00:59:17
CJX_1,07:16:20,0 days 00:50:23
AOI_1,07:16:31,0 days 01:06:23
ECJ_1,07:18:32,0 days 00:51:20
APY_1,07:20:54,0 days 01:05:00
DUT_1,07:21:14,0 days 00:53:51
ESA_1,07:21:38,0 days 00:51:11
BNJ_1,07:27:14,0 days 01:12:07
DBR_1,07:31:50,0 days 01:11:08
ETJ_1,07:37:06,0 days 01:11:09
DXL_1,07:39:34,0 days 01:09:45
DZ_2,07:41:06,0 days 00:00:00
FH_1,07:42:33,0 days 00:01:27
ECY_1,07:42:49,0 days 01:16:01
CSC_1,07:45:09,0 days 00:04:03
AFB_1,07:46:24,0 days 01:18:36
CZS_1,07:48:13,0 days 00:07:07
YP_1,07:49:29,0 days 00:08:23
X_4,07:50:19,0 days 00:09:13
BJR_1,07:52:10,0 days 00:11:04
EFK_1,07:54:10,0 days 00:13:04
DUM_1,07:55:25,0 days 00:14:19
CDO_1,07:56:20,0 days 00:53:36
JM_2,07:59:56,0 days 00:18:50
EQY_1,08:01:01,0 days 00:19:55
EE_1,08:01:53,0 days 00:20:47
AEC_1,08:03:22,0 days 00:22:16
CNK_1,08:04:37,0 days 00:23:31
DHX_1,08:05:46,0 days 00:24:40
DDM_1,08:07:27,0 days 00:26:21
CVL_1,08:08:39,0 days 00:27:33
DQA_1,08:08:53,0 days 00:27:47
CZM_1,08:10:11,0 days 00:29:05
AIF_1,08:11:23,0 days 00:30:17
AOW_1,08:12:10,0 days 00:31:04
BBV_1,08:12:40,0 days 00:48:10
ESS_1,08:13:10,0 days 00:32:04
CBM_1,08:15:33,0 days 00:34:27
EHO_1,08:17:42,0 days 00:36:36
BPH_1,08:23:00,0 days 00:41:54
ESI_1,08:24:05,0 days 00:42:59
BEP_1,08:26:55,0 days 00:45:49
EFR_1,08:27:10,0 days 00:46:04
BSY_1,08:28:14,0 days 00:47:08
BAP_1,08:29:31,0 days 00:48:25
AHM_1,08:38:45,0 days 00:57:39
WD_1,08:46:44,0 days 00:31:35
CEJ_1,08:46:57,0 days 01:05:51
FLA_1,08:53:09,0 days 01:12:03
ERF_1,08:57:17,0 days 01:16:11
DDN_1,08:58:52,0 days 01:17:46
DDK_1,09:01:28,0 days 01:20:22
CPA_1,09:03:57,0 days 01:22:51
DR_1,09:04:53,0 days 01:23:47
Z_3,09:06:40,0 days 01:25:34
CC_3,09:08:23,0 days 01:27:17
AQ_1,09:09:39,0 days 01:28:33
EIF_1,09:12:43,0 days 01:31:37
FV_1,09:16:00,0 days 01:34:54
CYF_1,09:17:20,0 days 01:36:14
DSD_1,09:19:25,0 days 01:38:19
NV_2,09:20:50,0 days 01:39:44
EHH_1,09:22:03,0 days 01:40:57
NR_1,09:24:54,0 days 01:43:48
CM_1,09:26:44,0 days 01:45:38
AFT_1,09:32:32,0 days 01:51:26
ABC_1,13:15:07,0 days 01:01:32
DWU_1,13:21:07,0 days 00:36:32
MY_2,14:44:45,0 days 00:50:43
TF_1,14:56:04,0 days 00:34:23
BJX_1,15:07:34,0 days 00:54:50
CXL_1,17:11:13,0 days 00:49:39
ANC_1,17:27:52,0 days 01:07:29
CAS_1,17:38:19,0 days 00:57:18
EPA_1,19:17:23,0 days 00:42:10
BXF_1,19:19:25,0 days 00:41:46
ZT_1,19:19:50,0 days 00:35:04
MY_1,19:32:23,0 days 01:00:17
BRI_1,19:33:01,0 days 00:50:51
ZM_1,19:35:35,0 days 01:05:25
BBG_1,19:51:30,0 days 01:14:55
BJS_1,19:59:07,0 days 01:01:50
ANM_1,20:15:08,0 days 01:07:05
DQK_1,21:06:27,0 days 00:58:21
BLS_1,21:21:33,0 days 01:14:36
