Stop_stn,Ride_time,sub
AHZ_1,08:50:50,0 days 01:28:31
FKY_1,17:58:57,0 days 00:00:00
AEF_1,18:05:04,0 days 00:06:07
RA_1,18:06:30,0 days 00:07:33
WG_1,18:08:12,0 days 00:09:15
EVK_1,18:12:51,0 days 00:13:54
BBS_1,18:17:31,0 days 00:18:34
BVS_1,18:18:38,0 days 00:19:41
CQL_1,18:20:03,0 days 00:21:06
ECW_1,18:25:17,0 days 00:26:20
DB_2,18:26:19,0 days 00:27:22
PZ_1,18:27:42,0 days 00:28:45
BQH_1,18:30:23,0 days 00:31:26
COX_1,18:31:00,0 days 00:32:03
IW_2,18:31:54,0 days 00:32:57
CIF_1,18:33:25,0 days 00:34:28
GS_1,18:34:39,0 days 00:35:42
ADM_1,18:38:14,0 days 00:39:17
EMF_1,18:43:49,0 days 00:44:52
CD_1,18:46:46,0 days 00:47:49
JT_1,18:48:11,0 days 00:49:14
P_1,18:49:04,0 days 00:50:07
QK_1,18:51:41,0 days 00:52:44
EAW_1,18:54:14,0 days 00:55:17
Z_1,18:54:55,0 days 00:55:58
ADG_1,18:56:03,0 days 00:57:06
AGD_1,18:57:41,0 days 00:58:44
ESP_1,18:58:54,0 days 00:59:57
AUK_1,18:59:57,0 days 01:01:00
ON_2,19:01:01,0 days 01:02:04
BUN_1,19:02:40,0 days 01:03:43
UV_1,19:05:17,0 days 01:06:20
EWH_1,19:07:48,0 days 01:08:51
EGQ_1,19:08:44,0 days 01:09:47
FKE_1,19:09:36,0 days 01:10:39
AHU_1,19:11:06,0 days 01:12:09
AM_1,19:12:42,0 days 01:13:45
EDL_1,19:13:52,0 days 01:14:55
DDH_1,19:14:56,0 days 01:15:59
HA_1,19:17:10,0 days 01:18:13
ESO_1,19:17:45,0 days 01:18:48
RE_1,19:19:24,0 days 01:20:27
CJP_1,19:21:42,0 days 01:22:45
EDX_1,19:23:43,0 days 01:24:46
ETD_1,19:25:49,0 days 01:26:52
BKV_1,19:28:29,0 days 01:29:32
FKZ_1,19:29:41,0 days 01:30:44
AUG_1,19:30:54,0 days 01:31:57
