Stop_stn,Ride_time,sub
BKN_1,07:31:24,0 days 00:00:00
V_3,07:32:58,0 days 00:01:34
BCO_1,07:34:49,0 days 00:03:25
DVM_1,07:35:43,0 days 00:04:19
CFU_1,07:37:10,0 days 00:05:46
BIL_1,07:38:06,0 days 00:06:42
ATO_1,07:39:35,0 days 00:08:11
BCG_1,07:40:39,0 days 00:09:15
DET_1,07:42:28,0 days 00:11:04
EJW_1,07:43:23,0 days 00:11:59
CWV_1,07:44:34,0 days 00:13:10
QQ_1,07:46:08,0 days 00:14:44
BWV_1,07:48:54,0 days 00:17:30
EHW_1,07:49:52,0 days 00:18:28
BYC_1,07:53:11,0 days 00:21:47
DJC_1,07:56:12,0 days 00:24:48
DCL_1,07:57:52,0 days 00:26:28
CAU_1,07:59:44,0 days 00:28:20
CLQ_1,08:00:34,0 days 00:29:10
BP_2,08:01:59,0 days 00:30:35
NQ_2,08:03:50,0 days 00:32:26
O_1,08:05:17,0 days 00:33:53
AOP_1,08:07:25,0 days 00:36:01
EZG_1,08:09:16,0 days 00:37:52
AQU_1,08:11:29,0 days 00:40:05
JI_2,08:12:28,0 days 00:41:04
CCJ_1,08:13:21,0 days 00:41:57
AEP_1,08:14:29,0 days 00:43:05
BTA_1,08:16:01,0 days 00:44:37
EAU_1,08:17:25,0 days 00:46:01
DTP_1,08:19:00,0 days 00:47:36
DDZ_1,08:20:39,0 days 00:49:15
AN_4,08:21:36,0 days 00:50:12
NX_2,08:22:43,0 days 00:51:19
DSK_1,08:24:17,0 days 00:52:53
EFV_1,08:26:59,0 days 00:55:35
AKM_1,08:29:05,0 days 00:57:41
ACK_1,08:31:13,0 days 00:59:49
DKS_1,08:32:51,0 days 01:01:27
CNI_1,08:33:48,0 days 01:02:24
DOS_1,08:34:47,0 days 01:03:23
DPB_1,08:37:08,0 days 01:05:44
GX_1,08:40:10,0 days 01:08:46
EYX_1,17:35:50,0 days 00:32:05
BHC_1,18:09:20,0 days 01:04:39
