Stop_stn,Ride_time,sub
BRL_1,06:40:23,0 days 00:00:00
AP_3,06:42:39,0 days 00:02:16
MP_1,06:44:31,0 days 00:04:08
APQ_1,06:46:15,0 days 00:05:52
EG_2,06:47:08,0 days 00:06:45
CGI_1,06:48:26,0 days 00:08:03
OO_1,06:50:17,0 days 00:09:54
BC_2,06:51:04,0 days 00:10:41
DZC_1,06:52:01,0 days 00:11:38
EOB_1,06:52:53,0 days 00:12:30
AAB_1,06:56:41,0 days 00:16:18
ESJ_1,06:58:15,0 days 00:17:52
BEL_1,06:59:54,0 days 00:19:31
CXY_1,07:01:05,0 days 00:20:42
AAY_1,07:02:47,0 days 00:22:24
BZN_1,07:05:03,0 days 00:24:40
BLP_1,07:06:39,0 days 00:26:16
BXQ_1,07:07:44,0 days 00:27:21
DKO_1,07:09:02,0 days 00:28:39
CEF_1,07:10:06,0 days 00:29:43
WH_1,07:11:54,0 days 00:31:31
CJJ_1,07:15:19,0 days 00:34:56
FOH_1,07:17:17,0 days 00:36:54
CLY_1,07:22:16,0 days 01:14:16
DYD_1,07:22:57,0 days 00:42:34
L_5,07:33:13,0 days 00:52:50
LN_1,07:37:04,0 days 00:56:41
AW_3,07:38:12,0 days 00:57:49
APW_1,07:39:49,0 days 00:59:26
OP_2,07:41:44,0 days 01:01:21
CD_3,07:43:07,0 days 01:02:44
EJM_1,07:45:11,0 days 01:04:48
BCI_1,07:48:46,0 days 01:08:23
DX_1,07:51:28,0 days 01:11:05
BL_3,07:52:58,0 days 01:12:35
BF_3,07:54:43,0 days 01:14:20
W_4,07:57:13,0 days 01:16:50
MT_2,08:00:51,0 days 01:20:28
MT_1,08:02:24,0 days 01:22:01
QG_2,08:04:00,0 days 01:23:37
BVP_1,08:04:56,0 days 01:24:33
DBV_1,08:05:56,0 days 01:25:33
DGU_1,08:08:54,0 days 01:28:31
DMM_1,08:10:38,0 days 01:30:15
ENB_1,08:12:17,0 days 01:31:54
AUO_1,08:13:33,0 days 01:33:10
AIN_1,08:14:21,0 days 01:33:58
GL_2,08:15:09,0 days 01:34:46
DOO_1,08:16:40,0 days 01:36:17
BSO_1,08:22:58,0 days 01:32:55
