Stop_stn,Ride_time,sub
DIQ_1,07:22:54,0 days 00:00:00
OB_2,07:22:55,0 days 00:00:01
BQK_1,07:24:43,0 days 00:31:30
DWG_1,07:26:10,0 days 00:03:16
CEB_1,07:27:53,0 days 00:04:59
AAA_1,07:30:58,0 days 00:08:04
CGM_1,07:32:01,0 days 00:09:07
BEG_1,07:33:44,0 days 00:10:50
AOY_1,07:34:50,0 days 00:11:56
BGF_1,07:36:46,0 days 00:13:52
BLB_1,07:39:47,0 days 00:16:53
DY_2,07:40:59,0 days 00:18:05
BUI_1,07:43:59,0 days 00:21:05
EIO_1,07:46:14,0 days 00:23:20
EKP_1,07:47:38,0 days 00:24:44
OO_2,07:49:19,0 days 00:26:25
AWZ_1,07:50:37,0 days 00:27:43
CFR_1,07:52:51,0 days 00:29:57
EOJ_1,07:55:38,0 days 00:32:44
DD_1,07:56:55,0 days 00:34:01
DWJ_1,07:58:30,0 days 00:35:36
CNP_1,08:01:29,0 days 00:38:35
VJ_1,08:04:37,0 days 00:41:43
WX_1,08:06:33,0 days 00:43:39
EWU_1,08:08:37,0 days 00:45:43
DZE_1,08:11:45,0 days 00:48:51
DIL_1,08:12:09,0 days 01:19:55
JP_1,08:15:48,0 days 00:52:54
ZZ_1,08:17:46,0 days 00:54:52
CYA_1,08:18:26,0 days 01:25:54
AKN_1,08:18:48,0 days 00:55:54
DKP_1,08:20:24,0 days 00:57:30
AJZ_1,08:24:18,0 days 01:01:24
KE_1,08:24:35,0 days 01:32:10
AAJ_1,08:25:22,0 days 01:02:28
AZO_1,08:26:23,0 days 01:03:29
JU_1,08:27:13,0 days 01:04:19
JU_2,08:28:29,0 days 01:05:35
AEW_1,08:30:02,0 days 01:07:08
AMJ_1,08:35:12,0 days 01:12:18
CST_1,08:37:33,0 days 01:14:39
DBM_1,08:39:01,0 days 01:16:07
COG_1,08:40:07,0 days 01:17:13
FLB_1,08:42:17,0 days 01:19:23
BRQ_1,08:42:53,0 days 01:19:59
BMP_1,08:44:40,0 days 01:21:46
AVG_1,08:46:09,0 days 01:23:15
AKD_1,08:47:19,0 days 01:24:25
ADQ_1,08:49:14,0 days 01:26:20
CYU_1,08:50:47,0 days 01:27:53
DLO_1,08:51:46,0 days 01:28:52
DOW_1,08:54:32,0 days 01:31:38
DLA_1,08:55:33,0 days 01:32:39
CIT_1,08:56:39,0 days 01:33:45
ARH_1,08:58:15,0 days 01:35:21
QA_1,09:02:20,0 days 01:39:26
CVR_1,09:08:45,0 days 01:45:51
IU_1,09:10:17,0 days 01:47:23
DVX_1,15:47:30,0 days 00:50:01
DDO_1,16:07:56,0 days 01:09:54
CCV_1,16:13:33,0 days 01:15:29
BEF_1,16:16:22,0 days 01:18:05
AOG_1,16:31:14,0 days 01:34:36
BMV_1,19:50:15,0 days 01:27:29
