Stop_stn,Ride_time,sub
OM_2,15:27:25,0 days 00:24:19
CRB_1,18:28:31,0 days 00:00:00
EVR_1,18:32:23,0 days 00:03:52
DZM_1,18:34:49,0 days 00:06:18
CBO_1,18:38:30,0 days 00:09:59
ATX_1,18:40:12,0 days 00:11:41
EJX_1,18:43:59,0 days 00:15:28
EAS_1,18:45:07,0 days 00:16:36
BS_3,18:48:11,0 days 00:19:40
AAM_1,18:49:57,0 days 00:21:26
CG_3,18:52:52,0 days 00:24:21
AZM_1,18:53:52,0 days 00:25:21
EEW_1,18:54:48,0 days 00:26:17
ZR_1,18:55:45,0 days 00:27:14
CZ_3,18:56:53,0 days 00:28:22
APC_1,19:00:14,0 days 00:31:43
BYU_1,19:00:45,0 days 00:32:14
AHK_1,19:02:19,0 days 00:33:48
V_4,19:03:48,0 days 00:35:17
B_2,19:04:42,0 days 00:36:11
B_3,19:05:45,0 days 00:37:14
CSN_1,19:08:54,0 days 00:40:23
D_3,19:09:44,0 days 00:41:13
EV_2,19:14:04,0 days 00:45:33
HD_1,19:20:07,0 days 00:51:36
DC_3,19:21:37,0 days 00:53:06
AH_2,19:24:38,0 days 00:56:07
NK_2,19:25:27,0 days 00:56:56
AJH_1,19:27:24,0 days 00:58:53
DXU_1,19:28:33,0 days 01:00:02
DBG_1,19:30:01,0 days 01:01:30
MU_1,19:30:46,0 days 01:02:15
KZ_1,19:31:53,0 days 01:03:22
ME_2,19:33:27,0 days 01:04:56
CHC_1,19:34:57,0 days 01:06:26
VA_1,19:35:45,0 days 01:07:14
BXR_1,19:36:35,0 days 01:08:04
BHV_1,19:39:14,0 days 01:10:43
AOB_1,19:41:32,0 days 01:13:01
EAM_1,19:42:36,0 days 01:14:05
CLU_1,19:43:40,0 days 01:15:09
ZC_1,19:48:45,0 days 01:20:14
VR_1,19:49:19,0 days 01:20:48
CKS_1,19:51:04,0 days 01:22:33
DPE_1,19:52:57,0 days 01:24:26
