Stop_stn,Ride_time,sub
BQM_1,07:29:11,0 days 00:14:31
BRL_1,07:42:47,0 days 00:00:00
AD_1,07:46:13,0 days 00:03:26
FNA_1,07:48:15,0 days 00:05:28
AZH_1,07:51:30,0 days 00:08:43
CJT_1,07:53:00,0 days 00:10:13
DV_1,07:54:42,0 days 00:11:55
DWL_1,07:56:42,0 days 00:44:03
EKL_1,07:57:18,0 days 00:14:31
BAI_1,07:58:49,0 days 00:16:02
EKK_1,08:00:29,0 days 00:17:42
KI_2,08:02:19,0 days 00:19:32
FKG_1,08:04:51,0 days 00:22:04
AMD_1,08:05:33,0 days 00:22:46
CV_3,08:07:44,0 days 00:24:57
AZ_2,08:09:12,0 days 00:26:25
ETV_1,08:10:12,0 days 00:27:25
BDU_1,08:13:44,0 days 00:30:57
VU_1,08:14:34,0 days 00:31:47
AOY_1,08:16:13,0 days 00:33:26
BGF_1,08:17:49,0 days 00:35:02
DJX_1,08:20:27,0 days 00:37:40
CTJ_1,08:21:48,0 days 00:39:01
BFO_1,08:25:35,0 days 00:42:48
DMY_1,08:28:10,0 days 00:45:23
OK_2,08:29:57,0 days 00:47:10
DRY_1,08:32:41,0 days 00:49:54
P_3,08:33:30,0 days 00:50:43
CSW_1,08:35:43,0 days 00:52:56
SZ_1,08:37:29,0 days 00:54:42
DHO_1,08:39:00,0 days 00:56:13
BGR_1,08:40:07,0 days 00:57:20
AS_1,08:43:20,0 days 01:00:33
DLL_1,08:43:54,0 days 01:01:07
BSZ_1,08:46:34,0 days 01:03:47
DRG_1,08:48:56,0 days 01:06:09
DV_2,08:51:31,0 days 01:08:44
CMO_1,08:54:14,0 days 01:11:27
BFH_1,08:57:22,0 days 01:14:35
AI_2,09:00:36,0 days 01:17:49
FD_2,17:04:53,0 days 01:07:04
