Stop_stn,Ride_time,sub
ASM_1,06:55:03,0 days 00:12:15
AQX_1,18:22:10,0 days 00:25:45
DV_2,18:36:58,0 days 00:00:00
BZJ_1,18:40:29,0 days 00:03:31
AEN_1,18:41:55,0 days 00:04:57
BIQ_1,18:43:45,0 days 00:06:47
Y_4,18:44:53,0 days 00:07:55
DHW_1,18:46:18,0 days 00:09:20
DDF_1,18:47:20,0 days 00:10:22
DUA_1,18:48:39,0 days 00:11:41
IJ_2,18:49:24,0 days 00:12:26
DB_3,18:50:28,0 days 00:13:30
AFX_1,18:52:10,0 days 00:15:12
BW_2,18:54:17,0 days 00:17:19
ALI_1,18:55:34,0 days 00:18:36
CB_2,18:56:49,0 days 00:19:51
DKB_1,18:57:42,0 days 00:20:44
EKE_1,18:59:00,0 days 00:22:02
FV_2,19:00:37,0 days 00:23:39
DV_1,19:06:56,0 days 00:29:58
