Stop_stn,Ride_time,sub
EV_2,16:28:55,0 days 00:00:00
CH_2,16:31:52,0 days 00:02:57
BOR_1,16:34:41,0 days 00:05:46
HT_2,16:35:50,0 days 00:06:55
UZ_1,16:39:03,0 days 00:10:08
FN_2,16:40:09,0 days 00:11:14
Q_4,16:41:33,0 days 00:12:38
V_4,16:42:28,0 days 00:13:33
B_2,16:44:27,0 days 00:15:32
BI_1,16:46:43,0 days 00:17:48
DHQ_1,16:48:51,0 days 00:19:56
TY_1,16:52:22,0 days 00:23:27
AUL_1,16:53:45,0 days 00:24:50
LJ_1,16:55:27,0 days 00:26:32
EZY_1,16:56:51,0 days 00:27:56
ELY_1,16:59:02,0 days 00:30:07
PL_2,17:00:52,0 days 00:31:57
KZ_2,17:02:16,0 days 00:33:21
