Stop_stn,Ride_time,sub
CGJ_1,06:34:37,0 days 00:00:00
CZE_1,06:36:43,0 days 00:02:06
N_1,06:38:04,0 days 00:03:27
AB_1,06:39:41,0 days 00:05:04
ELG_1,06:41:07,0 days 00:06:30
AXM_1,06:42:07,0 days 00:07:30
COB_1,06:45:05,0 days 00:10:28
BQY_1,06:46:03,0 days 00:11:26
AGQ_1,06:47:20,0 days 00:12:43
ATY_1,06:48:14,0 days 00:13:37
DCF_1,06:50:01,0 days 00:15:24
ELQ_1,06:51:40,0 days 00:17:03
EHD_1,06:52:42,0 days 00:18:05
AZE_1,06:53:54,0 days 00:19:17
CTF_1,06:55:32,0 days 00:20:55
EKD_1,06:56:18,0 days 00:21:41
LK_2,06:57:30,0 days 00:22:53
BNK_1,07:00:45,0 days 00:26:08
EMO_1,07:02:25,0 days 00:27:48
NK_1,07:04:37,0 days 00:30:00
OW_2,07:05:29,0 days 00:30:52
AIH_1,07:09:24,0 days 00:34:47
BNL_1,07:12:19,0 days 00:37:42
EWP_1,07:14:01,0 days 00:39:24
AYG_1,07:16:30,0 days 00:41:53
CUV_1,07:18:28,0 days 00:43:51
BZE_1,07:19:51,0 days 00:45:14
ECD_1,07:24:55,0 days 00:50:18
CYX_1,07:27:31,0 days 00:52:54
G_2,07:31:10,0 days 00:56:33
FM_1,07:32:39,0 days 00:58:02
PG_2,07:33:48,0 days 00:59:11
FIR_1,07:37:06,0 days 01:02:29
EEM_1,18:13:20,0 days 00:43:25
EWI_1,18:16:04,0 days 00:45:44
ENZ_1,18:21:11,0 days 00:51:22
