Stop_stn,Ride_time,sub
ET_2,12:17:58,0 days 00:00:00
EQP_1,12:22:14,0 days 00:04:16
OY_2,12:23:42,0 days 00:05:44
DHY_1,12:25:04,0 days 00:07:06
DPF_1,12:25:36,0 days 00:07:38
EFY_1,12:26:51,0 days 00:08:53
JO_1,12:27:36,0 days 00:09:38
IE_1,12:30:41,0 days 00:12:43
CUO_1,12:31:34,0 days 00:13:36
AMB_1,12:32:54,0 days 00:14:56
CNQ_1,12:33:52,0 days 00:15:54
AAL_1,12:36:12,0 days 00:18:14
EIT_1,12:37:04,0 days 00:19:06
CDD_1,12:38:16,0 days 00:20:18
DK_2,12:39:39,0 days 00:21:41
BJJ_1,12:40:34,0 days 00:22:36
ERC_1,12:41:34,0 days 00:23:36
ET_1,12:47:02,0 days 00:29:04
IZ_1,12:50:35,0 days 00:32:37
JS_1,12:52:16,0 days 00:34:18
COI_1,12:53:19,0 days 00:35:21
CE_1,12:54:14,0 days 00:36:16
ENA_1,12:55:58,0 days 00:38:00
LX_2,12:57:52,0 days 00:39:54
ALL_1,12:59:35,0 days 00:41:37
ATL_1,13:01:16,0 days 00:43:18
DUI_1,13:05:16,0 days 00:47:18
XO_1,13:05:53,0 days 00:47:55
U_3,13:07:53,0 days 00:49:55
HC_2,13:09:17,0 days 00:51:19
HX_1,13:11:02,0 days 00:53:04
BUSPARK,13:16:33,0 days 00:58:35
CZC_1,14:44:52,0 days 00:51:53
