Stop_stn,Ride_time,sub
EAY_1,09:48:09,0 days 00:00:02
DMI_1,18:00:48,0 days 00:00:00
CRU_1,18:01:41,0 days 00:00:53
VO_1,18:02:45,0 days 00:01:57
KW_1,18:04:23,0 days 00:03:35
CMP_1,18:06:21,0 days 00:05:33
EBM_1,18:07:23,0 days 00:06:35
HR_2,18:08:50,0 days 00:08:02
GE_1,18:09:42,0 days 00:08:54
EAQ_1,18:10:58,0 days 00:10:10
N_3,18:12:05,0 days 00:11:17
BX_2,18:13:10,0 days 00:12:22
CUF_1,18:14:10,0 days 00:13:22
AGI_1,18:17:22,0 days 00:16:34
IM_2,18:20:58,0 days 00:20:10
EBL_1,18:23:14,0 days 00:22:26
DZT_1,18:25:21,0 days 00:24:33
AFL_1,18:26:07,0 days 00:25:19
