Stop_stn,Ride_time,sub
MQ_1,17:43:38,0 days 00:16:37
CRB_1,17:57:57,0 days 00:00:00
EVR_1,18:00:43,0 days 00:02:46
DZM_1,18:03:15,0 days 00:05:18
CBO_1,18:05:13,0 days 00:07:16
DEM_1,18:06:36,0 days 00:08:39
CCT_1,18:07:50,0 days 00:09:53
CMG_1,18:08:53,0 days 00:10:56
BGL_1,18:10:03,0 days 00:12:06
EMP_1,18:11:33,0 days 00:13:36
CGQ_1,18:14:01,0 days 00:16:04
BTH_1,18:15:21,0 days 00:17:24
BDJ_1,18:18:49,0 days 00:20:52
BNW_1,18:19:40,0 days 00:21:43
ETS_1,18:20:22,0 days 00:22:25
CPC_1,18:21:27,0 days 00:23:30
RP_1,18:22:47,0 days 00:24:50
DAI_1,18:23:47,0 days 00:25:50
ENP_1,18:24:58,0 days 00:27:01
EVA_1,18:25:55,0 days 00:27:58
VR_1,18:27:01,0 days 00:29:04
CKS_1,18:28:46,0 days 00:30:49
DPE_1,18:30:42,0 days 00:32:45
