Stop_stn,Ride_time,sub
BEC_1,18:03:47,0 days 00:00:00
CYL_1,18:05:17,0 days 00:01:30
AJN_1,18:06:38,0 days 00:02:51
CII_1,18:11:03,0 days 00:07:16
UD_1,18:13:58,0 days 00:10:11
FBN_1,18:17:21,0 days 00:13:34
BFG_1,18:18:20,0 days 00:14:33
EPK_1,18:20:27,0 days 00:16:40
BCR_1,18:22:11,0 days 00:18:24
DZR_1,18:24:00,0 days 00:20:13
DKJ_1,18:25:27,0 days 00:21:40
ARZ_1,18:26:11,0 days 00:22:24
PC_1,18:26:55,0 days 00:23:08
EES_1,18:27:52,0 days 00:24:05
DAV_1,18:31:05,0 days 00:27:18
N_1,18:32:54,0 days 00:29:07
AB_1,18:34:27,0 days 00:30:40
ELG_1,18:35:51,0 days 00:32:04
AXM_1,18:36:52,0 days 00:33:05
ERG_1,18:40:49,0 days 00:37:02
AJO_1,18:42:55,0 days 00:39:08
DZL_1,18:44:25,0 days 00:40:38
CF_1,18:46:51,0 days 00:43:04
DYR_1,18:49:26,0 days 00:45:39
BVV_1,18:50:18,0 days 00:46:31
DSR_1,18:51:46,0 days 00:47:59
DXD_1,18:54:01,0 days 00:50:14
BQT_1,18:55:03,0 days 00:51:16
V_1,18:56:02,0 days 00:52:15
EPE_1,18:57:11,0 days 00:53:24
RL_1,19:00:20,0 days 00:56:33
ATM_1,19:02:05,0 days 00:58:18
AJL_1,19:07:24,0 days 01:03:37
HW_1,19:07:50,0 days 01:04:03
DN_1,19:10:24,0 days 01:06:37
BNK_1,19:12:38,0 days 01:08:51
EMO_1,19:14:14,0 days 01:10:27
NK_1,19:16:01,0 days 01:12:14
OW_2,19:16:57,0 days 01:13:10
ABQ_1,19:19:34,0 days 01:15:47
HW_2,19:20:27,0 days 01:16:40
BUW_1,19:23:41,0 days 01:19:54
DJP_1,19:24:22,0 days 01:20:35
AWN_1,19:27:53,0 days 01:24:06
AEA_1,19:29:33,0 days 01:25:46
FKP_1,19:31:20,0 days 01:27:33
AYD_1,19:32:08,0 days 01:28:21
Q_2,19:33:06,0 days 01:29:19
G_3,19:35:43,0 days 01:31:56
AC_1,19:37:22,0 days 01:33:35
BTF_1,19:38:14,0 days 01:34:27
AOH_1,19:39:23,0 days 01:35:36
CKL_1,19:42:30,0 days 01:38:43
DIW_1,19:43:25,0 days 00:51:07
PV_1,19:44:49,0 days 01:41:02
CYX_1,19:47:37,0 days 01:43:50
G_2,19:51:19,0 days 01:47:32
EOV_1,19:52:10,0 days 01:48:23
CYM_1,19:53:28,0 days 01:49:41
PC_2,19:54:28,0 days 01:50:41
EDW_1,19:57:45,0 days 01:53:58
DJT_1,19:59:15,0 days 01:55:28
BKS_1,20:01:30,0 days 01:57:43
AWY_1,20:02:25,0 days 01:58:38
CTV_1,20:04:08,0 days 02:00:21
FBM_1,20:04:52,0 days 02:01:05
DIJ_1,20:07:09,0 days 02:03:22
AFA_1,20:12:16,0 days 02:08:29
BBD_1,20:14:28,0 days 02:10:41
BHA_1,20:26:44,0 days 01:33:52
