Stop_stn,Ride_time,sub
BRG_1,17:46:59,0 days 00:00:00
EIF_1,17:50:38,0 days 00:03:39
FV_1,17:54:21,0 days 00:07:22
CYF_1,17:55:53,0 days 00:08:54
DSD_1,17:56:58,0 days 00:09:59
NV_2,17:58:59,0 days 00:12:00
EHH_1,18:00:59,0 days 00:14:00
NR_1,18:04:11,0 days 00:17:12
BMY_1,18:05:51,0 days 00:18:52
DIR_1,18:08:07,0 days 00:21:08
EAJ_1,18:11:20,0 days 00:24:21
AMJ_1,18:25:10,0 days 00:38:11
BKH_1,18:27:00,0 days 00:40:01
ARO_1,18:28:24,0 days 00:41:25
DDD_1,18:29:22,0 days 00:42:23
CVE_1,18:30:52,0 days 00:43:53
CTO_1,18:32:50,0 days 00:45:51
AJI_1,18:34:09,0 days 00:47:10
BDI_1,18:35:28,0 days 00:48:29
CRD_1,18:38:01,0 days 00:51:02
LQ_2,18:40:07,0 days 00:53:08
ADC_1,18:42:28,0 days 00:55:29
EAD_1,18:45:30,0 days 00:58:31
AKV_1,18:46:32,0 days 00:59:33
CFE_1,18:47:42,0 days 01:00:43
FP_2,18:50:21,0 days 01:03:22
KV_1,18:51:18,0 days 01:04:19
CEQ_1,18:53:09,0 days 01:06:10
DZD_1,18:56:01,0 days 01:09:02
AUB_1,18:58:28,0 days 01:11:29
FIR_1,19:01:31,0 days 01:14:32
