Stop_stn,Ride_time,sub
OX_1,07:28:53,0 days 00:00:00
BB_1,07:31:03,0 days 00:02:10
CIK_1,07:33:07,0 days 00:04:14
BL_1,07:35:15,0 days 00:06:22
IX_1,07:37:52,0 days 00:08:59
EOA_1,07:40:29,0 days 00:11:36
XF_1,07:43:44,0 days 00:14:51
BJN_1,07:46:16,0 days 00:17:23
CS_1,07:48:03,0 days 00:19:10
SN_1,07:49:55,0 days 00:21:02
DMV_1,07:51:34,0 days 00:22:41
DU_1,07:53:37,0 days 00:13:54
EVO_1,08:10:34,0 days 00:32:38
FIO_1,08:14:03,0 days 00:45:10
AIY_1,08:17:43,0 days 00:48:50
BUE_1,08:19:00,0 days 00:50:07
EHC_1,08:22:39,0 days 00:53:46
EHA_1,08:23:30,0 days 00:54:37
