Stop_stn,Ride_time,sub
EAY_1,07:48:24,0 days 00:00:00
DMI_1,07:53:24,0 days 00:05:00
CRU_1,07:55:06,0 days 00:06:42
CZB_1,07:55:30,0 days 00:17:38
DUJ_1,08:00:41,0 days 00:12:17
PR_1,08:01:18,0 days 00:35:18
PW_1,08:02:23,0 days 00:13:59
DPA_1,08:05:06,0 days 00:16:42
ATP_1,08:05:52,0 days 00:37:25
LW_1,08:06:36,0 days 00:18:12
XZ_1,08:08:11,0 days 00:19:47
BFM_1,08:08:59,0 days 00:20:35
BNT_1,08:10:15,0 days 00:21:51
DCU_1,08:10:54,0 days 00:32:15
RB_1,08:11:12,0 days 00:22:48
EMJ_1,08:12:32,0 days 00:24:08
BGA_1,08:12:49,0 days 00:35:19
EUJ_1,08:12:52,0 days 00:24:28
BFW_1,08:14:18,0 days 00:25:54
AAF_1,08:14:56,0 days 00:26:32
AFL_1,08:15:41,0 days 00:56:32
AHB_1,08:15:56,0 days 00:27:32
CBH_1,08:16:27,0 days 00:28:03
AEG_1,08:18:09,0 days 00:29:45
DEA_1,08:23:02,0 days 00:34:38
CGU_1,08:23:47,0 days 00:35:23
DEH_1,08:24:31,0 days 00:36:07
BTK_1,08:25:49,0 days 00:37:25
DEF_1,08:27:10,0 days 00:38:46
BFR_1,08:28:58,0 days 00:40:34
DIV_1,08:29:53,0 days 00:41:29
AMV_1,08:31:00,0 days 00:42:36
EFM_1,08:32:02,0 days 00:43:38
DYY_1,08:32:45,0 days 00:44:21
CJW_1,08:33:47,0 days 00:45:23
FS_1,08:35:26,0 days 00:47:02
CHE_1,08:38:30,0 days 00:50:06
AGI_1,08:40:33,0 days 00:52:09
IM_2,08:42:48,0 days 00:54:24
EBL_1,08:46:19,0 days 00:57:55
VO_1,18:49:49,0 days 00:09:39
EQG_1,19:01:46,0 days 00:19:24
BXW_1,19:06:30,0 days 00:23:48
DZT_1,19:40:05,0 days 00:58:38
