Stop_stn,Ride_time,sub
EV_2,07:10:12,0 days 00:00:00
HD_1,07:15:58,0 days 00:05:46
DC_3,07:18:06,0 days 00:07:54
BI_1,07:21:15,0 days 00:11:03
GG_1,07:22:25,0 days 00:12:13
ZX_1,07:23:44,0 days 00:13:32
CGF_1,07:24:42,0 days 00:14:30
CEK_1,07:29:13,0 days 00:19:01
CZR_1,07:30:09,0 days 01:06:01
BRA_1,07:30:44,0 days 00:20:32
CHF_1,07:32:07,0 days 00:21:55
BIZ_1,07:35:23,0 days 00:25:11
XP_1,07:35:29,0 days 00:25:17
DZW_1,07:37:22,0 days 00:27:10
CR_1,07:48:35,0 days 00:38:23
EJV_1,07:50:25,0 days 00:40:13
IF_1,07:51:42,0 days 00:41:30
DZP_1,07:52:46,0 days 00:42:34
EEY_1,07:55:20,0 days 00:45:08
FOC_1,07:58:30,0 days 00:48:18
DZ_1,07:59:43,0 days 00:49:31
DUP_1,08:00:45,0 days 00:50:33
AZD_1,08:01:36,0 days 00:51:24
DZX_1,08:02:23,0 days 00:52:11
JD_1,08:04:48,0 days 00:54:36
BOB_1,08:06:38,0 days 00:56:26
EUM_1,08:07:57,0 days 00:57:45
ACJ_1,08:09:00,0 days 00:58:48
CHQ_1,08:10:07,0 days 00:59:55
HB_2,08:13:41,0 days 01:03:29
AUF_1,08:15:13,0 days 01:05:01
DAB_1,08:17:12,0 days 01:07:00
FAC_1,08:17:43,0 days 00:57:47
FKB_1,08:18:17,0 days 00:56:57
BOH_1,08:18:27,0 days 01:08:15
EYQ_1,08:20:11,0 days 01:09:59
CTC_1,08:20:38,0 days 01:00:27
EDS_1,08:22:41,0 days 01:12:29
ARJ_1,08:24:26,0 days 01:14:14
JG_2,08:26:12,0 days 01:06:35
BLA_1,08:26:56,0 days 01:16:44
BFK_1,08:29:45,0 days 01:19:33
AVC_1,08:31:53,0 days 01:21:41
DRR_1,08:32:58,0 days 01:22:46
DWK_1,08:35:35,0 days 01:25:23
CXS_1,08:36:03,0 days 01:19:28
EKH_1,08:36:14,0 days 00:27:43
DEC_1,08:36:18,0 days 01:26:06
DUV_1,08:37:20,0 days 01:27:08
FKH_1,08:38:07,0 days 01:27:55
AVR_1,08:39:11,0 days 01:28:59
ACE_1,08:40:43,0 days 01:30:31
LO_2,08:42:50,0 days 01:32:38
CTO_1,08:45:18,0 days 01:35:06
AJI_1,08:47:38,0 days 01:37:26
CRD_1,08:51:33,0 days 01:41:21
LQ_2,08:53:55,0 days 01:43:43
ADC_1,08:55:40,0 days 01:45:28
BEW_1,08:57:27,0 days 01:47:15
DOM_1,08:57:52,0 days 01:37:46
IP_2,08:59:36,0 days 01:49:24
AFA_1,09:13:40,0 days 01:55:09
BBD_1,14:48:41,0 days 01:44:55
BDI_1,16:01:29,0 days 01:22:43
