Stop_stn,Ride_time,sub
FKY_1,06:51:39,0 days 00:00:00
FKZ_1,06:54:59,0 days 00:03:20
AE_2,06:56:53,0 days 00:05:14
Y_1,06:58:31,0 days 00:06:52
BH_1,07:00:15,0 days 00:08:36
GB_2,07:02:10,0 days 00:10:31
AU_1,07:04:03,0 days 00:12:24
EFQ_1,07:06:14,0 days 00:14:35
TI_1,07:08:39,0 days 00:17:00
ASZ_1,07:13:01,0 days 00:21:22
HS_1,07:15:17,0 days 00:23:38
IK_1,07:16:47,0 days 00:25:08
BUN_1,07:20:49,0 days 00:29:10
UV_1,07:24:17,0 days 00:32:38
EWH_1,07:29:11,0 days 00:37:32
EGQ_1,07:30:26,0 days 00:38:47
FKE_1,07:31:54,0 days 00:40:15
AHU_1,07:33:44,0 days 00:42:05
S_1,07:35:16,0 days 00:43:37
GF_1,07:37:10,0 days 00:45:31
HA_1,07:38:44,0 days 00:47:05
ESO_1,07:39:12,0 days 00:47:33
UP_1,07:40:48,0 days 00:49:09
DWF_1,07:41:45,0 days 00:50:06
EWC_1,07:43:12,0 days 00:51:33
EXT_1,07:44:06,0 days 00:52:27
YB_1,07:45:10,0 days 00:53:31
CQK_1,07:46:19,0 days 00:54:40
BWW_1,07:47:57,0 days 00:56:18
GP_1,07:48:59,0 days 00:57:20
TO_1,07:50:06,0 days 00:58:27
AXI_1,07:51:23,0 days 00:59:44
CDE_1,07:52:19,0 days 01:00:40
II_1,07:53:12,0 days 01:01:33
YW_1,07:55:06,0 days 01:03:27
BK_1,08:07:56,0 days 01:16:17
BUJ_1,08:08:39,0 days 01:17:00
DNA_1,08:09:59,0 days 01:18:20
D_1,08:14:20,0 days 01:22:41
DB_2,08:16:24,0 days 01:24:45
PZ_1,08:17:11,0 days 01:25:32
IS_1,08:18:10,0 days 01:26:31
AJE_1,08:19:51,0 days 01:28:12
CIF_1,08:21:00,0 days 01:29:21
GS_1,08:22:10,0 days 01:30:31
ADM_1,08:24:24,0 days 01:32:45
EMF_1,08:27:44,0 days 01:36:05
CD_1,08:29:37,0 days 01:37:58
JT_1,08:31:12,0 days 01:39:33
CIK_1,08:33:39,0 days 01:42:00
BL_1,08:34:57,0 days 01:43:18
IX_1,08:36:36,0 days 01:44:57
EOA_1,08:37:55,0 days 01:46:16
DU_1,08:39:18,0 days 01:47:39
XF_1,08:41:03,0 days 01:49:24
BJN_1,08:42:47,0 days 01:51:08
CS_1,08:44:12,0 days 01:52:33
BG_2,08:45:55,0 days 01:54:16
AUG_1,08:48:58,0 days 01:57:19
DAT_1,18:24:55,0 days 01:13:52
GC_2,18:25:57,0 days 01:05:14
BJQ_1,18:41:01,0 days 01:26:41
LM_1,20:58:42,0 days 01:12:56
