Stop_stn,Ride_time,sub
AZZ_1,07:32:03,0 days 00:33:52
AMN_1,09:05:39,0 days 01:18:56
AAK_1,15:47:27,0 days 00:44:22
GI_1,17:47:57,0 days 00:45:18
CGJ_1,18:34:08,0 days 00:00:00
LG_1,18:38:48,0 days 00:04:40
COC_1,18:40:09,0 days 00:06:01
BOA_1,18:41:24,0 days 00:07:16
AF_1,18:42:02,0 days 00:07:54
AG_1,18:43:25,0 days 00:09:17
PV_1,18:45:51,0 days 00:11:43
BZW_1,18:47:43,0 days 00:13:35
ASR_1,18:49:06,0 days 00:14:58
DDT_1,18:49:45,0 days 00:15:37
DHR_1,18:52:13,0 days 00:18:05
ATE_1,18:54:14,0 days 00:20:06
CBQ_1,18:55:02,0 days 00:20:54
BUW_1,18:56:26,0 days 00:22:18
DJP_1,18:57:33,0 days 00:23:25
AWN_1,18:59:35,0 days 00:25:27
CCH_1,19:02:11,0 days 00:28:03
EBU_1,19:03:42,0 days 00:29:34
BGV_1,19:04:36,0 days 00:30:28
CUD_1,19:06:24,0 days 00:32:16
IV_2,19:07:30,0 days 00:33:22
AN_2,19:09:21,0 days 00:35:13
BZ_1,19:10:34,0 days 00:36:26
BX_1,19:11:21,0 days 00:37:13
AJQ_1,19:12:41,0 days 00:38:33
EOX_1,19:14:39,0 days 00:40:31
NA_1,19:17:56,0 days 00:43:48
EYB_1,19:18:45,0 days 00:44:37
NQ_1,19:19:34,0 days 00:45:26
IV_1,19:22:21,0 days 00:48:13
DBP_1,19:26:21,0 days 00:52:13
EJD_1,19:27:20,0 days 00:53:12
AWW_1,19:28:59,0 days 00:54:51
RL_1,19:30:59,0 days 00:56:51
ATM_1,19:33:04,0 days 00:58:56
DIW_1,19:34:32,0 days 01:00:24
DFQ_1,19:36:23,0 days 01:02:15
DCV_1,19:39:15,0 days 01:05:07
BCF_1,19:41:04,0 days 01:06:56
DCT_1,19:42:08,0 days 01:08:00
BWG_1,19:43:14,0 days 01:09:06
ERG_1,19:44:50,0 days 01:10:42
KN_1,19:45:55,0 days 01:11:47
LT_1,19:48:05,0 days 01:13:57
DXR_1,19:49:26,0 days 01:15:18
DJU_1,19:50:17,0 days 01:16:09
FIR_1,19:51:38,0 days 01:17:30
