Stop_stn,Ride_time,sub
EDE_1,07:00:03,0 days 00:00:00
EJR_1,07:03:38,0 days 00:03:35
OC_1,07:06:27,0 days 00:06:24
FAT_1,07:09:09,0 days 00:09:06
DPE_1,07:14:44,0 days 01:03:46
ABO_1,07:16:01,0 days 00:15:58
CRB_1,07:16:28,0 days 01:02:38
DZY_1,07:17:45,0 days 00:17:42
BRW_1,07:19:23,0 days 00:19:20
EYK_1,07:20:26,0 days 00:20:23
BVK_1,07:21:11,0 days 00:21:08
EYS_1,07:22:03,0 days 00:22:00
CP_3,07:24:25,0 days 00:24:22
BKO_1,07:25:05,0 days 00:25:02
ERU_1,07:25:31,0 days 00:25:28
JB_2,07:31:15,0 days 00:31:12
FAH_1,07:34:15,0 days 00:34:12
FHK_1,07:36:09,0 days 00:36:06
FAQ_1,07:36:59,0 days 00:36:56
FAO_1,07:39:05,0 days 00:39:02
FAI_1,07:41:03,0 days 00:41:00
FAM_1,07:41:53,0 days 00:41:50
DHG_1,07:45:44,0 days 00:45:41
APN_1,07:46:34,0 days 00:46:31
EW_2,07:48:10,0 days 00:48:07
AHP_1,07:50:19,0 days 00:50:16
ANB_1,07:51:44,0 days 00:51:41
MH_2,07:53:42,0 days 00:53:39
UZ_1,07:55:57,0 days 00:55:54
DFM_1,07:57:54,0 days 00:57:51
CYG_1,08:01:04,0 days 01:01:01
CKS_1,08:03:48,0 days 01:03:45
DBD_1,17:22:16,0 days 00:20:37
