Stop_stn,Ride_time,sub
DKQ_1,13:03:21,0 days 00:28:19
EPX_1,17:45:36,0 days 00:31:07
LOR 1 GEYLANG TER,18:13:58,0 days 00:00:00
FA_2,18:16:06,0 days 00:02:08
FA_1,18:19:44,0 days 00:05:46
AGA_1,18:20:53,0 days 00:06:55
AFY_1,18:25:53,0 days 00:11:55
AKM_1,18:28:24,0 days 00:14:26
ACK_1,18:29:47,0 days 00:15:49
BJV_1,18:32:06,0 days 00:18:08
ECF_1,18:34:17,0 days 00:20:19
AIK_1,18:35:23,0 days 00:21:25
ALC_1,18:36:30,0 days 00:22:32
AZW_1,18:37:37,0 days 00:23:39
CCK_1,18:40:28,0 days 00:26:30
EWD_1,18:43:20,0 days 00:29:22
ASX_1,18:45:47,0 days 00:31:49
BNY_1,18:48:10,0 days 00:34:12
MS_1,18:49:58,0 days 00:36:00
CAX_1,18:50:47,0 days 00:36:49
AWV_1,18:51:33,0 days 00:37:35
FBR_1,18:56:17,0 days 00:42:19
EZP_1,18:57:33,0 days 00:43:35
CL_1,18:58:48,0 days 00:44:50
CIC_1,18:59:26,0 days 00:45:28
BZH_1,19:00:38,0 days 00:46:40
KY_2,19:02:58,0 days 00:49:00
