Stop_stn,Ride_time,sub
COZ_1,06:40:00,0 days 00:00:00
EI_1,06:44:10,0 days 00:04:10
DSX_1,06:44:45,0 days 00:04:45
AKE_1,06:47:22,0 days 00:07:22
CCL_1,06:48:17,0 days 00:08:17
BSB_1,06:50:08,0 days 00:10:08
BIC_1,06:51:52,0 days 00:11:52
ANI_1,06:53:53,0 days 00:13:53
CGT_1,06:55:28,0 days 00:15:28
ALM_1,06:57:42,0 days 00:17:42
CMX_1,07:01:14,0 days 00:21:14
BTX_1,07:03:49,0 days 00:23:49
BLR_1,07:05:51,0 days 00:25:51
COE_1,07:07:04,0 days 00:27:04
SC_1,07:09:46,0 days 00:29:46
ELH_1,07:13:05,0 days 00:33:05
AVB_1,07:15:45,0 days 00:35:45
