Stop_stn,Ride_time,sub
ESM_1,07:06:07,0 days 00:48:13
EXK_1,07:54:58,0 days 01:48:57
BSM_1,08:45:19,0 days 01:31:12
ET_2,17:55:28,0 days 00:00:00
EQP_1,18:00:57,0 days 00:05:29
OY_2,18:02:28,0 days 00:07:00
DHY_1,18:05:24,0 days 00:09:56
DPF_1,18:06:14,0 days 00:10:46
CNV_1,18:08:28,0 days 00:13:00
KB_1,18:10:15,0 days 00:14:47
EHS_1,18:14:07,0 days 00:18:39
DDQ_1,18:20:03,0 days 00:24:35
DFS_1,18:20:58,0 days 00:25:30
EJP_1,18:23:29,0 days 00:28:01
F_5,18:25:00,0 days 00:29:32
EVW_1,18:27:42,0 days 00:32:14
CYK_1,18:29:56,0 days 00:34:28
AJ_2,18:30:58,0 days 00:35:30
ALO_1,18:33:53,0 days 00:38:25
EAC_1,18:35:31,0 days 00:40:03
ERX_1,18:37:03,0 days 00:41:35
CMC_1,18:43:12,0 days 00:45:03
EPL_1,18:53:45,0 days 00:58:17
EH_2,18:56:09,0 days 01:00:41
DAC_1,18:57:21,0 days 01:01:53
LI_2,18:58:04,0 days 01:02:36
DIQ_1,19:00:36,0 days 01:05:08
HE_2,19:05:33,0 days 01:10:05
EML_1,19:07:49,0 days 01:12:21
DNO_1,19:09:03,0 days 01:13:35
EQK_1,19:10:10,0 days 01:14:42
LP_1,19:21:10,0 days 01:25:42
DHG_1,19:24:24,0 days 01:28:56
APN_1,19:25:22,0 days 01:29:54
EW_2,19:28:14,0 days 01:32:46
AHP_1,19:29:38,0 days 01:34:10
ANB_1,19:30:56,0 days 01:35:28
MH_2,19:34:58,0 days 01:39:30
UZ_1,19:37:01,0 days 01:41:33
FN_2,19:38:42,0 days 01:43:14
Q_4,19:39:59,0 days 01:44:31
EFO_1,19:44:48,0 days 01:49:20
DBE_1,19:46:30,0 days 01:51:02
BNE_1,19:48:47,0 days 01:53:19
CDD_1,19:50:05,0 days 01:54:37
DK_2,19:51:43,0 days 01:56:15
BJJ_1,19:53:11,0 days 01:57:43
ERC_1,19:54:31,0 days 01:59:03
