Stop_stn,Ride_time,sub
DNV_1,07:26:59,0 days 00:33:52
AWR_1,07:53:01,0 days 00:00:00
EQM_1,07:55:20,0 days 00:02:19
SJ_1,07:56:19,0 days 00:03:18
BP_1,07:59:24,0 days 00:06:23
CB_1,08:01:33,0 days 00:08:32
EEI_1,08:03:28,0 days 00:10:27
DOM_1,08:05:17,0 days 00:49:47
BD_3,08:05:17,0 days 00:12:16
DWD_1,08:07:00,0 days 00:13:59
PL_1,08:09:13,0 days 00:16:12
UQ_1,08:10:49,0 days 00:17:48
CJD_1,08:12:22,0 days 00:19:21
ZQ_1,08:14:14,0 days 00:21:13
DEE_1,08:15:44,0 days 00:22:43
BAZ_1,08:18:43,0 days 00:25:42
AJZ_1,08:21:20,0 days 00:28:19
AAJ_1,08:22:57,0 days 00:29:56
AZO_1,08:23:42,0 days 00:30:41
JU_1,08:24:50,0 days 00:31:49
DPK_1,08:25:31,0 days 00:32:30
BVF_1,08:27:10,0 days 00:34:09
AYX_1,08:28:36,0 days 00:35:35
CKW_1,08:29:07,0 days 00:36:06
ALH_1,08:31:02,0 days 00:38:01
CUY_1,08:33:33,0 days 00:40:32
LO_2,08:36:24,0 days 00:43:23
CTO_1,08:40:04,0 days 00:47:03
RT_1,08:43:17,0 days 00:50:16
BCC_1,08:46:58,0 days 00:53:57
EDW_1,08:48:25,0 days 00:55:24
DJT_1,08:50:15,0 days 00:57:14
BKS_1,08:51:56,0 days 00:58:55
AWY_1,08:53:42,0 days 01:00:41
CTV_1,08:55:28,0 days 01:02:27
FBM_1,08:56:43,0 days 01:03:42
FP_2,08:59:33,0 days 01:06:32
KV_1,09:01:53,0 days 01:08:52
CEQ_1,09:03:36,0 days 01:10:35
DZD_1,09:06:14,0 days 01:13:13
AUB_1,09:08:11,0 days 01:15:10
FIR_1,09:10:20,0 days 01:17:19
