Stop_stn,Ride_time,sub
CJY_1,07:28:17,0 days 00:28:48
DBN_1,14:53:48,0 days 00:16:00
ESD_1,17:04:11,0 days 00:00:00
IN_2,17:09:42,0 days 00:05:31
NU_2,17:10:35,0 days 00:06:24
CIR_1,17:12:57,0 days 00:08:46
BLZ_1,17:13:50,0 days 00:09:39
AM_3,17:14:49,0 days 00:10:38
EZS_1,17:17:00,0 days 00:12:49
BYX_1,17:19:37,0 days 00:15:26
EUN_1,17:21:27,0 days 00:17:16
BQD_1,17:22:31,0 days 00:18:20
ERK_1,17:23:56,0 days 00:19:45
AK_3,17:26:36,0 days 00:22:25
AWZ_1,17:28:38,0 days 00:24:27
BQK_1,17:28:57,0 days 00:24:46
EG_1,17:30:35,0 days 00:26:24
EKQ_1,17:31:43,0 days 00:27:32
AZH_1,17:32:49,0 days 00:28:38
CJT_1,17:34:08,0 days 00:29:57
DV_1,17:35:14,0 days 00:31:03
BQM_1,17:37:01,0 days 00:32:50
EKL_1,17:37:50,0 days 00:33:39
BAI_1,17:41:14,0 days 00:37:03
EKK_1,17:42:02,0 days 00:37:51
ALW_1,17:45:10,0 days 00:40:59
BMT_1,17:46:14,0 days 00:42:03
OH_2,17:49:33,0 days 00:45:22
DNP_1,17:50:42,0 days 00:46:31
DI_3,17:53:37,0 days 00:49:26
LJ_2,17:55:55,0 days 00:51:44
CE_3,17:57:02,0 days 00:52:51
CL_3,17:59:49,0 days 00:55:38
EQK_1,18:02:27,0 days 00:58:16
DQW_1,18:04:30,0 days 01:00:19
BPX_1,18:06:32,0 days 01:02:21
FDY_1,18:07:36,0 days 01:03:25
CWL_1,18:09:23,0 days 01:05:12
HG_2,18:11:28,0 days 01:07:17
EDE_1,18:13:49,0 days 01:09:38
