Stop_stn,Ride_time,sub
BAV_1,07:46:10,0 days 00:00:00
BQG_1,07:47:10,0 days 00:01:00
WB_1,07:50:27,0 days 00:19:01
AGL_1,07:50:58,0 days 00:04:48
KC_2,07:52:18,0 days 00:06:08
KX_2,07:53:05,0 days 00:06:55
CJI_1,07:54:05,0 days 00:07:55
DG_2,07:55:37,0 days 00:09:27
BIS_1,07:58:00,0 days 00:11:50
DOP_1,07:59:59,0 days 00:13:49
PV_2,08:00:54,0 days 00:14:44
ASY_1,08:02:32,0 days 00:16:22
EBV_1,08:05:28,0 days 00:19:18
BET_1,08:08:37,0 days 00:22:27
KH_1,08:11:08,0 days 00:24:58
CJV_1,08:12:15,0 days 00:26:05
WF_1,08:14:06,0 days 00:27:56
EZR_1,08:14:12,0 days 00:28:02
BOC_1,08:15:15,0 days 00:29:05
AHI_1,08:18:51,0 days 00:32:41
AYS_1,08:19:50,0 days 00:33:40
EIQ_1,08:21:06,0 days 00:34:56
