Stop_stn,Ride_time,sub
BRL_1,12:08:43,0 days 00:00:00
AD_3,12:12:32,0 days 00:03:49
KA_1,12:13:47,0 days 00:05:04
EOJ_1,12:14:39,0 days 00:05:56
EUN_1,12:17:34,0 days 00:08:51
BQD_1,12:18:40,0 days 00:09:57
ERK_1,12:23:01,0 days 00:14:18
CJY_1,12:24:49,0 days 00:16:06
AK_3,12:25:25,0 days 00:16:42
CL_2,12:27:07,0 days 00:18:24
EGC_1,12:28:32,0 days 00:19:49
DI_2,12:29:41,0 days 00:20:58
GH_2,12:32:05,0 days 00:23:22
AUD_1,12:33:54,0 days 00:25:11
CLB_1,12:34:53,0 days 00:26:10
EOK_1,12:36:58,0 days 00:28:15
MB_1,12:38:42,0 days 00:29:59
EVY_1,12:39:36,0 days 00:30:53
HK_2,12:41:11,0 days 00:32:28
EAT_1,12:43:41,0 days 00:34:58
DQB_1,12:45:24,0 days 00:36:41
BYW_1,12:46:32,0 days 00:37:49
AO_3,12:48:28,0 days 00:39:45
DXS_1,12:49:39,0 days 00:40:56
DEV_1,12:55:22,0 days 00:46:39
DJY_1,12:56:06,0 days 00:47:23
MP_1,12:57:11,0 days 00:48:28
APQ_1,12:58:07,0 days 00:49:24
K_4,13:00:29,0 days 00:51:46
AD_4,13:01:29,0 days 00:52:46
BUSPARK,15:49:13,0 days 00:04:48
