Stop_stn,Ride_time,sub
JC_1,06:49:37,0 days 00:00:00
JC_2,06:51:24,0 days 00:01:47
NZ_2,06:52:55,0 days 00:03:18
CQ_3,06:55:32,0 days 00:05:55
AER_1,06:57:29,0 days 00:07:52
AV_3,06:58:49,0 days 00:09:12
BC_3,07:01:03,0 days 00:11:26
BJH_1,07:03:19,0 days 00:13:42
AJ_4,07:04:37,0 days 00:15:00
AF_4,07:06:35,0 days 00:16:58
BNR_1,07:09:52,0 days 00:20:15
BMU_1,07:10:41,0 days 00:21:04
CN_3,07:12:53,0 days 00:23:16
DSE_1,07:14:14,0 days 00:24:37
GY_2,07:21:34,0 days 00:31:57
CYI_1,07:25:47,0 days 00:36:10
O_3,07:27:14,0 days 00:37:37
BWD_1,07:29:59,0 days 00:40:22
EKB_1,07:33:12,0 days 00:43:35
CLJ_1,07:34:45,0 days 00:45:08
EAX_1,07:39:33,0 days 00:49:56
C_5,07:40:33,0 days 00:50:56
DHT_1,07:42:36,0 days 00:52:59
BQW_1,07:44:13,0 days 00:54:36
EEQ_1,07:46:47,0 days 00:57:10
AVJ_1,07:47:06,0 days 00:57:29
EDF_1,07:49:53,0 days 01:00:16
AHJ_1,07:51:41,0 days 01:02:04
AAG_1,07:54:06,0 days 01:04:29
