Stop_stn,Ride_time,sub
GY_2,06:29:36,0 days 00:00:00
EHT_1,06:34:04,0 days 00:04:28
PP_2,06:36:05,0 days 00:06:29
BU_3,06:37:46,0 days 00:08:10
AMW_1,06:40:25,0 days 00:10:49
LN_2,06:41:27,0 days 00:11:51
CPL_1,06:41:55,0 days 00:12:19
IE_2,06:42:55,0 days 00:13:19
JV_2,06:44:05,0 days 00:14:29
BI_3,06:45:07,0 days 00:15:31
BBZ_1,06:47:05,0 days 00:17:29
EKB_1,06:48:27,0 days 00:18:51
CLJ_1,06:50:03,0 days 00:20:27
EAX_1,06:51:16,0 days 00:21:40
C_5,06:51:55,0 days 00:22:19
DHT_1,06:53:58,0 days 00:24:22
MU_2,06:55:26,0 days 00:25:50
AS_2,06:56:56,0 days 00:27:20
FMK_1,06:58:04,0 days 00:28:28
BNV_1,06:59:40,0 days 00:30:04
DYF_1,07:00:32,0 days 00:30:56
DJM_1,07:03:16,0 days 00:33:40
FOU_1,07:06:02,0 days 00:36:26
BCX_1,07:08:14,0 days 00:38:38
BVA_1,07:09:09,0 days 00:39:33
DXA_1,07:10:47,0 days 00:41:11
DNM_1,07:12:32,0 days 00:42:56
BLU_1,07:13:07,0 days 00:43:31
DBZ_1,07:14:05,0 days 00:44:29
DYU_1,07:15:22,0 days 00:45:46
DMP_1,07:16:45,0 days 00:47:09
ERQ_1,07:18:11,0 days 00:48:35
DTP_1,07:20:09,0 days 00:50:33
DDZ_1,07:21:36,0 days 00:52:00
AN_4,07:22:39,0 days 00:53:03
NX_2,07:23:36,0 days 00:54:00
DSK_1,07:24:35,0 days 00:54:59
EFV_1,07:26:03,0 days 00:56:27
AKM_1,07:28:12,0 days 00:58:36
CAV_1,07:28:54,0 days 00:59:18
ERV_1,07:30:42,0 days 01:01:06
AZS_1,07:33:10,0 days 01:03:34
DGR_1,07:34:46,0 days 01:05:10
MN_2,07:36:19,0 days 01:06:43
EXN_1,07:37:32,0 days 01:07:56
AGU_1,07:38:10,0 days 01:08:34
ADH_1,07:39:53,0 days 01:10:17
CCF_1,07:40:50,0 days 01:11:14
SQ_1,07:42:32,0 days 01:12:56
DFL_1,07:43:23,0 days 01:13:47
APE_1,07:43:59,0 days 01:14:23
CST_1,07:46:37,0 days 01:17:01
DBM_1,07:47:34,0 days 01:17:58
COG_1,07:49:54,0 days 01:20:18
FLB_1,07:51:30,0 days 01:21:54
DDO_1,07:52:59,0 days 01:23:23
BMP_1,07:54:20,0 days 01:24:44
CQU_1,07:57:31,0 days 01:27:55
ASB_1,07:58:31,0 days 01:28:55
DTJ_1,07:59:34,0 days 01:29:58
AWF_1,08:01:00,0 days 01:31:24
DGV_1,08:02:39,0 days 01:33:03
HB_1,08:06:21,0 days 01:36:45
DGZ_1,08:07:29,0 days 01:37:53
AB_2,08:08:17,0 days 01:38:41
CXA_1,08:10:26,0 days 01:40:50
EPJ_1,08:11:06,0 days 01:41:30
BGO_1,08:12:00,0 days 01:42:24
BIW_1,08:12:52,0 days 01:43:16
CKT_1,08:14:52,0 days 01:45:16
BTG_1,08:17:33,0 days 01:47:57
BH_2,08:18:27,0 days 01:48:51
NE_1,08:21:29,0 days 01:51:53
DGD_1,08:24:07,0 days 01:54:31
AF_2,08:26:51,0 days 01:57:15
YT_1,08:27:38,0 days 01:58:02
EH_1,08:31:48,0 days 02:02:12
DWO_1,08:34:11,0 days 02:04:35
AR_1,08:38:54,0 days 02:09:18
FKY_1,08:42:02,0 days 02:12:26
DIL_1,18:37:18,0 days 01:36:50
BRQ_1,18:52:46,0 days 01:39:35
AVG_1,18:57:18,0 days 01:44:59
Q_3,19:23:30,0 days 02:23:14
WZ_1,19:24:00,0 days 02:22:02
DBK_1,19:31:25,0 days 01:47:30
V_2,19:33:31,0 days 02:22:02
DS_1,19:57:03,0 days 02:10:04
