Stop_stn,Ride_time,sub
AWR_1,06:18:19,0 days 00:00:00
CB_1,06:20:18,0 days 00:01:59
JP_1,06:21:11,0 days 00:02:52
BWR_1,06:22:37,0 days 00:04:18
FMD_1,06:24:26,0 days 00:06:07
DPH_1,06:25:35,0 days 00:07:16
EFL_1,06:26:32,0 days 00:08:13
S_3,06:27:48,0 days 00:09:29
CL_1,06:28:32,0 days 00:10:13
CIC_1,06:29:21,0 days 00:11:02
BZH_1,06:30:27,0 days 00:12:08
BKX_1,06:34:16,0 days 00:15:57
EGL_1,06:35:10,0 days 00:16:51
CQ_3,06:44:08,0 days 00:25:49
MU_2,06:46:05,0 days 00:27:46
CGC_1,06:47:23,0 days 00:29:04
CZH_1,06:49:30,0 days 00:31:11
DFW_1,06:50:25,0 days 00:32:06
COQ_1,06:51:23,0 days 00:33:04
BNR_1,06:53:47,0 days 00:35:28
IR_2,06:55:19,0 days 00:37:00
PN_2,06:56:13,0 days 00:37:54
AAC_1,06:57:11,0 days 00:38:52
EZU_1,06:58:31,0 days 00:40:12
DWB_1,06:59:08,0 days 00:40:49
EJJ_1,07:00:05,0 days 00:41:46
AXW_1,07:00:48,0 days 00:42:29
TM_1,07:02:18,0 days 00:43:59
CTY_1,07:04:46,0 days 00:46:27
BQE_1,07:07:50,0 days 00:49:31
AFR_1,07:10:04,0 days 00:51:45
K_5,07:12:05,0 days 00:53:46
DBI_1,07:14:10,0 days 00:55:51
GZ_1,07:19:31,0 days 01:01:12
DXY_1,07:21:19,0 days 01:03:00
DOD_1,07:22:45,0 days 01:04:26
AOS_1,07:24:57,0 days 01:06:38
QG_2,07:27:06,0 days 01:08:47
BVP_1,07:28:12,0 days 01:09:53
DBV_1,07:29:39,0 days 01:11:20
CLY_1,07:30:45,0 days 01:12:26
DGU_1,07:32:25,0 days 01:14:06
BQZ_1,07:33:17,0 days 00:07:28
DMM_1,07:34:31,0 days 01:16:12
ENB_1,07:35:40,0 days 01:17:21
AUO_1,07:36:48,0 days 01:18:29
AIN_1,07:37:40,0 days 01:19:21
GL_2,07:38:31,0 days 01:20:12
DOO_1,07:39:25,0 days 01:21:06
BSO_1,07:56:40,0 days 01:27:38
