Stop_stn,Ride_time,sub
BVL_1,06:28:14,0 days 00:00:00
MM_2,06:31:05,0 days 00:02:51
EDB_1,06:33:05,0 days 00:04:51
GA_2,06:34:13,0 days 00:05:59
BQC_1,06:35:05,0 days 00:06:51
NU_2,06:36:54,0 days 00:08:40
BR_2,06:39:15,0 days 00:11:01
CS_2,06:41:00,0 days 00:12:46
BJP_1,06:42:37,0 days 00:14:23
BA_3,06:45:55,0 days 00:17:41
DZE_1,06:49:24,0 days 00:21:10
JP_1,06:52:29,0 days 00:24:15
BQZ_1,06:54:01,0 days 00:25:47
BWR_1,06:54:36,0 days 00:26:22
FMA_1,06:56:12,0 days 00:27:58
BND_1,06:57:43,0 days 00:29:29
AXL_1,07:00:12,0 days 00:31:58
ATJ_1,07:04:01,0 days 00:35:47
LU_2,07:05:22,0 days 00:37:08
BSJ_1,07:06:09,0 days 00:37:55
AH_3,07:07:01,0 days 00:38:47
NP_2,07:08:00,0 days 00:39:46
CWS_1,07:08:52,0 days 00:40:38
DDZ_1,07:11:10,0 days 00:42:56
AN_4,07:12:38,0 days 00:44:24
NX_2,07:13:34,0 days 00:45:20
DSK_1,07:14:58,0 days 00:46:44
EFV_1,07:16:58,0 days 00:48:44
AZF_1,07:17:42,0 days 01:31:57
BEM_1,07:18:47,0 days 00:50:33
FCD_1,07:20:02,0 days 00:51:48
TP_1,07:20:53,0 days 00:52:39
QW_1,07:22:10,0 days 00:53:56
AAS_1,07:23:14,0 days 00:55:00
ABH_1,07:24:25,0 days 00:56:11
AOP_1,07:27:16,0 days 00:59:02
TJ_1,07:29:30,0 days 01:01:16
BAH_1,07:30:19,0 days 01:02:05
QM_1,07:31:31,0 days 01:03:17
DBO_1,07:34:03,0 days 01:05:49
AI_3,07:34:34,0 days 01:06:20
JC_1,07:36:02,0 days 01:07:48
APB_1,07:40:16,0 days 01:12:02
UN_1,07:41:57,0 days 01:13:43
ECZ_1,07:42:43,0 days 01:14:29
EAK_1,07:45:06,0 days 01:16:52
CMZ_1,07:46:01,0 days 01:17:47
O_4,07:49:56,0 days 01:21:42
BLY_1,07:52:22,0 days 01:24:08
RJ_1,07:53:28,0 days 01:25:14
DYW_1,07:54:52,0 days 01:26:38
DOF_1,07:55:55,0 days 01:27:41
YX_1,07:57:53,0 days 01:29:39
EVN_1,07:58:39,0 days 01:30:25
AAN_1,07:59:25,0 days 01:31:11
ALP_1,08:00:41,0 days 01:32:27
ETX_1,08:01:50,0 days 01:33:36
ANK_1,08:03:16,0 days 01:35:02
ENR_1,08:04:12,0 days 01:35:58
BDY_1,08:06:08,0 days 01:37:54
RW_1,14:32:52,0 days 00:30:10
UW_1,14:55:29,0 days 00:53:46
ETT_1,15:22:06,0 days 01:19:25
EGD_1,15:35:39,0 days 01:33:12
