Stop_stn,Ride_time,sub
AWR_1,06:47:22,0 days 00:00:00
CB_1,06:50:16,0 days 00:02:54
EEI_1,06:51:55,0 days 00:04:33
BD_3,06:53:51,0 days 00:06:29
DWD_1,06:56:28,0 days 00:09:06
PL_1,06:58:22,0 days 00:11:00
BIH_1,07:01:41,0 days 00:14:19
AQB_1,07:03:12,0 days 00:15:50
NG_2,07:04:13,0 days 00:16:51
EEX_1,07:05:44,0 days 00:18:22
BB_2,07:08:16,0 days 00:20:54
AEZ_1,07:09:42,0 days 00:22:20
DQI_1,07:12:18,0 days 00:24:56
CEC_1,07:15:37,0 days 00:28:15
AHY_1,07:17:36,0 days 00:30:14
BPQ_1,07:19:09,0 days 00:31:47
VH_1,07:22:58,0 days 00:35:36
AVH_1,07:23:55,0 days 00:36:33
FKF_1,07:25:57,0 days 00:38:35
HB_2,07:37:58,0 days 00:50:36
ASG_1,07:40:26,0 days 00:53:04
CUQ_1,07:41:23,0 days 00:54:01
SI_1,07:43:37,0 days 00:56:15
EAB_1,07:44:35,0 days 00:57:13
ACI_1,07:48:36,0 days 01:01:14
AIW_1,07:50:58,0 days 01:03:36
EFF_1,07:53:00,0 days 01:05:38
EIP_1,07:53:38,0 days 01:06:16
CC_1,07:56:50,0 days 01:09:28
CVR_1,07:57:56,0 days 01:10:34
IU_1,08:00:00,0 days 01:12:38
AGV_1,08:02:27,0 days 01:15:05
EU_2,08:05:07,0 days 01:17:45
YK_1,08:07:21,0 days 01:19:59
BJB_1,08:08:53,0 days 01:21:31
BFS_1,08:12:15,0 days 01:24:53
COM_1,08:13:41,0 days 01:26:19
YZ_1,08:16:09,0 days 01:28:47
BG_2,08:19:46,0 days 01:32:24
AUG_1,08:22:27,0 days 01:35:05
FKY_1,08:24:23,0 days 01:37:01
BGQ_1,08:37:51,0 days 00:35:01
AFV_1,17:29:04,0 days 00:30:04
DXQ_1,17:57:34,0 days 00:34:15
TC_1,18:04:18,0 days 01:05:45
CZD_1,18:32:36,0 days 00:39:53
CSH_1,18:32:56,0 days 01:10:51
