Stop_stn,Ride_time,sub
EDE_1,11:56:43,0 days 00:00:00
EJR_1,12:01:10,0 days 00:04:27
OC_1,12:02:18,0 days 00:05:35
FAT_1,12:03:18,0 days 00:06:35
FOG_1,12:04:32,0 days 00:07:49
DWG_1,12:06:25,0 days 00:09:42
DJA_1,12:08:49,0 days 00:12:06
HY_1,12:10:12,0 days 00:13:29
EZX_1,12:12:36,0 days 00:15:53
BEG_1,12:14:00,0 days 00:17:17
AOY_1,12:14:54,0 days 00:18:11
BGF_1,12:15:40,0 days 00:18:57
BLB_1,12:17:33,0 days 00:20:50
DY_2,12:18:57,0 days 00:22:14
BUI_1,12:21:35,0 days 00:24:52
EIO_1,12:22:56,0 days 00:26:13
EKP_1,12:24:07,0 days 00:27:24
OO_2,12:26:15,0 days 00:29:32
AWZ_1,12:27:06,0 days 00:30:23
BQK_1,12:27:47,0 days 00:31:04
CFR_1,12:28:44,0 days 00:32:01
K_4,12:29:43,0 days 00:33:00
AD_4,12:31:24,0 days 00:34:41
FNA_1,12:33:12,0 days 00:36:29
AFX_1,12:34:32,0 days 00:37:49
BTY_1,12:35:31,0 days 00:38:48
BFX_1,12:36:31,0 days 00:39:48
BUS_1,12:37:54,0 days 00:41:11
BWH_1,12:38:30,0 days 00:41:47
APD_1,12:40:23,0 days 00:43:40
CJC_1,12:41:01,0 days 00:44:18
CEU_1,12:41:47,0 days 00:45:04
CFJ_1,12:44:22,0 days 00:47:39
CHZ_1,12:47:01,0 days 00:50:18
ELU_1,12:49:13,0 days 00:52:30
AFS_1,12:51:34,0 days 00:54:51
EFU_1,12:53:48,0 days 00:57:05
DLT_1,12:56:28,0 days 00:59:45
RN_1,12:58:11,0 days 01:01:28
BMW_1,12:59:18,0 days 01:02:35
BNA_1,13:00:33,0 days 01:03:50
BER_1,13:01:57,0 days 01:05:14
CLI_1,13:05:05,0 days 01:08:22
BQA_1,13:06:47,0 days 01:10:04
CDA_1,13:09:18,0 days 01:12:35
CMZ_1,13:11:31,0 days 01:14:48
BLY_1,13:13:46,0 days 01:17:03
RJ_1,13:14:59,0 days 01:18:16
ETT_1,13:16:09,0 days 01:19:26
DYW_1,13:16:44,0 days 01:20:01
ADY_1,13:18:38,0 days 01:21:55
BHZ_1,13:20:14,0 days 01:23:31
ALP_1,13:23:20,0 days 01:26:37
ETX_1,13:24:14,0 days 01:27:31
ANK_1,13:25:58,0 days 01:29:15
ENR_1,13:27:02,0 days 01:30:19
EGD_1,13:27:52,0 days 01:31:09
KA_2,17:58:28,0 days 00:08:20
AEK_1,19:07:57,0 days 01:31:09
AZF_1,19:16:10,0 days 01:38:05
BDY_1,19:35:13,0 days 01:44:52
