Stop_stn,Ride_time,sub
BUSPARK,06:14:31,0 days 00:00:00
VQ_1,06:17:52,0 days 00:03:21
EOZ_1,06:20:01,0 days 00:05:30
DAF_1,06:21:33,0 days 00:07:02
FB_1,06:22:57,0 days 00:08:26
GZ_1,06:25:07,0 days 00:10:36
DXY_1,06:26:35,0 days 00:12:04
EYW_1,06:29:42,0 days 00:15:11
CNU_1,06:31:33,0 days 00:17:02
DVI_1,06:32:38,0 days 00:18:07
CBT_1,06:33:58,0 days 00:19:27
FFG_1,06:35:01,0 days 00:20:30
DTA_1,06:36:01,0 days 00:21:30
FFN_1,06:37:21,0 days 00:22:50
FFL_1,06:39:21,0 days 00:24:50
CCR_1,06:40:44,0 days 00:26:13
CWK_1,06:43:12,0 days 00:28:41
FFD_1,06:44:18,0 days 00:29:47
HO_2,06:49:22,0 days 00:34:51
NN_1,06:51:20,0 days 00:36:49
BH_3,06:53:49,0 days 00:39:18
BSU_1,06:56:33,0 days 00:42:02
DD_2,06:58:54,0 days 00:44:23
DXJ_1,07:00:59,0 days 00:46:28
FX_2,07:04:13,0 days 00:49:42
ABN_1,07:53:35,0 days 00:17:22
