Stop_stn,Ride_time,sub
FCI_1,07:07:06,0 days 00:00:00
EWO_1,07:16:57,0 days 00:09:51
AQZ_1,07:18:01,0 days 00:10:55
DKW_1,07:18:42,0 days 00:11:36
BSH_1,07:19:20,0 days 00:12:14
BPE_1,07:21:01,0 days 00:13:55
EBC_1,07:21:49,0 days 00:14:43
ENL_1,07:23:34,0 days 00:16:28
APM_1,07:24:50,0 days 00:17:44
XS_1,07:25:49,0 days 00:18:43
BYI_1,07:26:41,0 days 00:19:35
BPR_1,07:27:34,0 days 00:20:28
DUD_1,07:29:22,0 days 00:22:16
EIJ_1,07:30:10,0 days 00:23:04
BCK_1,07:30:44,0 days 00:23:38
DLM_1,07:31:53,0 days 00:24:47
CWX_1,07:32:25,0 days 00:25:19
CSO_1,07:33:15,0 days 00:26:09
CNM_1,07:33:53,0 days 00:26:47
AOQ_1,07:35:15,0 days 00:28:09
AJT_1,07:36:17,0 days 00:29:11
QF_2,07:37:15,0 days 00:30:09
ECB_1,07:37:53,0 days 00:30:47
FCM_1,07:39:44,0 days 00:12:42
ERJ_1,07:40:11,0 days 00:33:05
ABW_1,07:47:31,0 days 00:40:25
DMC_1,07:50:14,0 days 00:18:28
EMW_1,07:58:42,0 days 00:26:31
BBN_1,08:06:42,0 days 00:35:01
DZJ_1,08:13:06,0 days 00:43:43
DYJ_1,08:14:11,0 days 00:37:53
AKG_1,08:14:48,0 days 00:44:57
ABI_1,09:00:46,0 days 00:39:44
CKN_1,13:57:43,0 days 00:27:29
BJO_1,13:59:20,0 days 00:28:48
EGN_1,14:00:46,0 days 00:30:06
FAZ_1,14:06:29,0 days 00:38:39
DKF_1,17:59:31,0 days 00:38:32
