Stop_stn,Ride_time,sub
FML_1,18:18:27,0 days 00:00:00
FPK_1,18:18:45,0 days 00:00:18
VQ_1,18:30:53,0 days 00:12:26
EOZ_1,18:32:16,0 days 00:13:49
DAF_1,18:33:18,0 days 00:14:51
FB_1,18:34:20,0 days 00:15:53
AS_3,18:35:58,0 days 00:17:31
BWY_1,18:40:27,0 days 00:22:00
B_7,18:41:49,0 days 00:23:22
ACM_1,18:45:20,0 days 00:26:53
ZF_1,18:46:56,0 days 00:28:29
ALK_1,18:47:51,0 days 00:29:24
BRJ_1,18:49:05,0 days 00:30:38
DHC_1,18:52:36,0 days 00:34:09
DMJ_1,18:54:18,0 days 00:35:51
GY_2,18:57:09,0 days 00:38:42
AI_4,19:02:27,0 days 00:44:00
EGA_1,19:04:14,0 days 00:45:47
BU_3,19:06:17,0 days 00:47:50
AMW_1,19:08:34,0 days 00:50:07
AXW_1,19:09:34,0 days 00:51:07
CTY_1,19:14:53,0 days 00:56:26
BXU_1,19:17:05,0 days 00:16:31
BQE_1,19:17:56,0 days 00:59:29
AFR_1,19:19:51,0 days 01:01:24
K_5,19:21:08,0 days 01:02:41
DBI_1,19:23:39,0 days 01:05:12
BH_3,19:26:53,0 days 01:08:26
BSU_1,19:28:10,0 days 01:09:43
DD_2,19:29:09,0 days 01:10:42
DXJ_1,19:30:36,0 days 01:12:09
FOT_1,19:33:59,0 days 01:15:32
TM_1,19:51:34,0 days 00:49:41
