Stop_stn,Ride_time,sub
KI_1,07:05:08,0 days 00:00:00
FJ_2,07:08:54,0 days 00:03:46
GN_2,07:12:08,0 days 00:07:00
IK_2,07:13:09,0 days 00:08:01
CVU_1,07:16:26,0 days 00:11:18
I_5,07:19:30,0 days 00:14:22
CGG_1,07:21:09,0 days 00:16:01
HE_2,07:23:11,0 days 00:18:03
EML_1,07:25:37,0 days 00:20:29
DNO_1,07:26:44,0 days 00:21:36
EQK_1,07:28:16,0 days 00:23:08
DYD_1,07:30:53,0 days 00:25:45
DBV_1,07:55:49,0 days 00:50:41
CLY_1,07:56:25,0 days 00:51:17
DGU_1,07:58:59,0 days 00:53:51
DPN_1,08:03:34,0 days 00:58:26
GJ_1,08:07:53,0 days 01:02:45
ACD_1,08:16:35,0 days 01:11:27
DGB_1,08:18:24,0 days 01:13:16
CCO_1,08:19:48,0 days 01:14:40
BJU_1,08:20:53,0 days 01:15:45
EBN_1,08:21:41,0 days 01:16:33
AXG_1,08:22:14,0 days 01:17:06
