Stop_stn,Ride_time,sub
DEG_1,07:46:35,0 days 00:00:00
EXL_1,07:47:46,0 days 00:01:11
LS_2,07:51:47,0 days 00:05:12
AFF_1,07:53:11,0 days 00:06:36
JJ_1,07:54:46,0 days 00:08:11
BHW_1,07:55:28,0 days 00:08:53
ANN_1,07:56:24,0 days 00:09:49
KJ_1,07:57:55,0 days 00:11:20
GU_1,07:59:01,0 days 00:12:26
LI_1,08:01:32,0 days 00:14:57
CW_1,08:03:36,0 days 00:17:01
GO_1,08:04:41,0 days 00:18:06
BYJ_1,08:06:21,0 days 00:19:46
BAE_1,08:07:21,0 days 00:20:46
EPG_1,08:09:36,0 days 00:23:01
AIY_1,08:28:40,0 days 00:42:05
EHC_1,08:34:01,0 days 00:47:26
FIO_1,08:34:22,0 days 00:47:47
BUE_1,08:39:09,0 days 00:52:34
EHA_1,08:44:14,0 days 00:57:39
