Stop_stn,Ride_time,sub
GY_2,07:23:57,0 days 00:00:00
CGH_1,07:28:27,0 days 00:04:30
BUT_1,07:29:15,0 days 00:05:18
ML_2,07:30:12,0 days 00:06:15
CNJ_1,07:32:04,0 days 00:08:07
AJG_1,07:32:54,0 days 00:08:57
XE_1,07:35:20,0 days 00:11:23
CEH_1,07:36:22,0 days 00:12:25
BXY_1,07:37:42,0 days 00:13:45
BEK_1,07:38:21,0 days 00:14:24
AFN_1,07:39:29,0 days 00:15:32
EDF_1,07:41:42,0 days 00:17:45
EJY_1,07:43:25,0 days 00:19:28
DIB_1,07:44:19,0 days 00:20:22
ASU_1,07:45:12,0 days 00:21:15
AGP_1,07:46:53,0 days 00:22:56
BXL_1,07:47:59,0 days 00:24:02
BSG_1,07:48:48,0 days 00:24:51
EZB_1,07:49:56,0 days 00:25:59
TG_1,07:51:03,0 days 00:27:06
EAG_1,07:53:55,0 days 00:29:58
AEU_1,07:56:19,0 days 00:32:22
ENQ_1,07:58:25,0 days 00:34:28
EVS_1,08:02:13,0 days 00:38:16
RK_1,08:03:53,0 days 00:39:56
PI_2,08:05:33,0 days 00:41:36
AN_4,08:07:23,0 days 00:43:26
EHW_1,08:18:32,0 days 00:54:35
BPB_1,08:24:06,0 days 01:00:09
BKA_1,08:28:31,0 days 01:04:34
ST_1,08:30:44,0 days 01:06:47
CVN_1,08:33:39,0 days 01:09:42
DWR_1,08:34:36,0 days 01:10:39
KY_2,08:37:06,0 days 01:13:09
