Stop_stn,Ride_time,sub
BD_1,06:40:36,0 days 00:21:43
COZ_1,17:45:31,0 days 00:00:00
EBW_1,17:49:07,0 days 00:03:36
HN_1,17:56:02,0 days 00:10:31
CRJ_1,17:57:48,0 days 00:12:17
W_1,17:59:42,0 days 00:14:11
BG_1,18:00:30,0 days 00:14:59
AE_1,18:02:07,0 days 00:16:36
EMF_1,18:04:01,0 days 00:18:30
DXB_1,18:09:04,0 days 00:23:33
DE_1,18:10:28,0 days 00:24:57
AHU_1,18:12:02,0 days 00:26:31
S_1,18:13:10,0 days 00:27:39
GF_1,18:15:01,0 days 00:29:30
HA_1,18:16:28,0 days 00:30:57
ESO_1,18:17:20,0 days 00:31:49
UP_1,18:19:16,0 days 00:33:45
DWF_1,18:20:45,0 days 00:35:14
BES_1,18:22:13,0 days 00:36:42
ECW_1,18:24:32,0 days 00:39:01
DB_2,18:26:02,0 days 00:40:31
PZ_1,18:26:53,0 days 00:41:22
IS_1,18:27:55,0 days 00:42:24
AJE_1,18:29:03,0 days 00:43:32
CIF_1,18:30:30,0 days 00:44:59
DH_1,18:31:19,0 days 00:45:48
EUY_1,18:34:39,0 days 00:49:08
UV_1,18:37:36,0 days 00:52:05
I_2,18:42:11,0 days 00:56:40
K_1,18:44:34,0 days 00:59:03
DDS_1,18:46:30,0 days 01:00:59
ATV_1,18:48:27,0 days 01:02:56
HJ_1,18:49:56,0 days 01:04:25
CAT_1,18:52:50,0 days 01:07:19
AET_1,18:56:54,0 days 01:11:23
