Stop_stn,Ride_time,sub
BKN_1,07:46:22,0 days 00:00:00
V_3,07:47:47,0 days 00:01:25
DOM_1,07:48:54,0 days 00:20:28
BCO_1,07:49:38,0 days 00:03:16
DVM_1,07:51:13,0 days 00:04:51
CFU_1,07:53:06,0 days 00:06:44
BIL_1,07:54:13,0 days 00:07:51
ATO_1,07:54:59,0 days 00:08:37
BCG_1,07:57:45,0 days 00:11:23
DGQ_1,08:02:50,0 days 00:16:28
BXN_1,08:03:35,0 days 00:17:13
ALH_1,08:06:16,0 days 00:19:54
CUY_1,08:08:14,0 days 00:21:52
LO_2,08:10:30,0 days 00:24:08
CTO_1,08:12:29,0 days 00:26:07
AJI_1,08:13:42,0 days 00:27:20
BDI_1,08:16:04,0 days 00:29:42
CRD_1,08:17:31,0 days 00:31:09
LQ_2,08:19:32,0 days 00:33:10
ADC_1,08:23:14,0 days 00:36:52
CFP_1,08:27:28,0 days 00:41:06
DEX_1,08:30:02,0 days 00:43:40
ARC_1,08:31:07,0 days 00:44:45
EC_1,08:34:32,0 days 00:48:10
DZD_1,08:36:41,0 days 00:50:19
BMB_1,08:38:01,0 days 01:09:49
AUB_1,08:38:07,0 days 00:51:45
PG_1,08:38:33,0 days 00:52:11
CDU_1,08:41:50,0 days 00:55:28
COC_1,08:42:40,0 days 00:56:18
CTS_1,08:44:15,0 days 00:57:53
FKJ_1,08:46:12,0 days 00:59:50
CKR_1,08:48:04,0 days 01:01:42
CVV_1,08:51:12,0 days 01:04:50
IO_1,08:51:30,0 days 01:05:08
CF_1,08:54:45,0 days 01:08:23
DYR_1,08:55:41,0 days 01:09:19
BVV_1,08:56:23,0 days 01:10:01
ALQ_1,08:59:01,0 days 01:12:39
BZ_1,08:59:58,0 days 01:13:36
BX_1,09:01:11,0 days 01:14:49
DL_1,09:01:48,0 days 01:15:26
CIM_1,09:04:32,0 days 01:18:10
M_3,09:06:18,0 days 01:19:56
ALV_1,09:08:47,0 days 01:22:25
AVW_1,09:11:27,0 days 01:25:05
