Stop_stn,Ride_time,sub
MZ_2,07:14:03,0 days 00:00:00
QZ_1,07:16:31,0 days 00:02:28
EEZ_1,07:23:35,0 days 00:09:32
BUC_1,07:25:54,0 days 00:11:51
BF_3,07:28:58,0 days 00:14:55
W_4,07:30:50,0 days 00:16:47
BXT_1,07:33:35,0 days 00:19:32
DFX_1,07:41:36,0 days 00:27:33
HO_2,07:43:57,0 days 00:29:54
NN_1,07:47:00,0 days 00:32:57
BH_3,07:49:23,0 days 00:35:20
BSU_1,07:51:42,0 days 00:37:39
DD_2,07:52:32,0 days 00:38:29
CGR_1,07:55:26,0 days 00:41:23
DAH_1,07:57:25,0 days 00:43:22
DRM_1,07:58:36,0 days 00:44:33
ACM_1,08:02:19,0 days 00:48:16
ZF_1,08:04:15,0 days 00:50:12
ALK_1,08:06:50,0 days 00:52:47
LN_2,08:07:31,0 days 00:53:28
CPL_1,08:08:38,0 days 00:54:35
IE_2,08:09:30,0 days 00:55:27
JV_2,08:10:01,0 days 00:55:58
BI_3,08:10:56,0 days 00:56:53
BBZ_1,08:12:57,0 days 00:58:54
EKB_1,08:15:33,0 days 01:01:30
CLJ_1,08:16:50,0 days 01:02:47
EAX_1,08:18:42,0 days 01:04:39
C_5,08:19:40,0 days 01:05:37
DHT_1,08:21:29,0 days 01:07:26
BQW_1,08:23:39,0 days 01:09:36
BCO_1,08:26:21,0 days 01:56:13
EEQ_1,08:26:24,0 days 01:12:21
AVJ_1,08:27:08,0 days 01:13:05
EDF_1,08:31:11,0 days 01:17:08
EJY_1,08:32:32,0 days 01:18:29
DIB_1,08:34:21,0 days 01:20:18
ASU_1,08:36:12,0 days 01:22:09
AGP_1,08:37:07,0 days 01:23:04
BXL_1,08:38:20,0 days 01:24:17
BSG_1,08:39:26,0 days 01:25:23
EZB_1,08:41:35,0 days 01:27:32
TG_1,08:43:31,0 days 01:29:28
EAG_1,08:45:03,0 days 01:31:00
AEU_1,08:47:20,0 days 01:33:17
ENQ_1,08:49:51,0 days 01:35:48
EFV_1,08:52:47,0 days 01:38:44
AKM_1,08:55:15,0 days 01:41:12
ACK_1,08:58:19,0 days 01:44:16
DKS_1,09:01:27,0 days 01:47:24
CNI_1,09:02:53,0 days 01:48:50
DOS_1,09:05:42,0 days 01:51:39
BHC_1,09:06:44,0 days 01:52:41
DGQ_1,09:08:03,0 days 01:54:00
BXN_1,09:10:04,0 days 01:56:01
EWD_1,09:14:21,0 days 02:00:18
DKQ_1,09:15:47,0 days 02:01:44
CME_1,09:18:38,0 days 02:04:35
CEA_1,09:20:52,0 days 02:06:49
BSP_1,09:22:25,0 days 02:08:22
EJK_1,09:22:25,0 days 02:08:22
ATO_1,09:23:57,0 days 02:09:54
GX_1,09:25:27,0 days 02:11:24
FLZ_1,09:27:23,0 days 02:13:20
FMC_1,09:28:57,0 days 02:14:54
BKN_1,09:30:52,0 days 02:16:49
