Stop_stn,Ride_time,sub
GA_2,06:53:06,0 days 00:26:40
CMC_1,07:41:42,0 days 00:16:50
EV_2,07:42:29,0 days 00:00:00
AUB_1,07:45:41,0 days 01:20:51
ENH_1,07:47:08,0 days 00:04:39
CYK_1,07:47:49,0 days 00:05:20
AJ_2,07:50:16,0 days 00:07:47
ALO_1,07:52:31,0 days 00:10:02
EAC_1,07:54:17,0 days 00:11:48
BDF_1,07:58:45,0 days 00:16:16
ARB_1,07:59:34,0 days 00:17:05
AK_1,08:00:23,0 days 00:17:54
YD_1,08:01:09,0 days 00:18:40
DRU_1,08:05:42,0 days 00:23:13
MM_2,08:08:10,0 days 00:25:41
EDB_1,08:10:34,0 days 00:28:05
BQC_1,08:11:26,0 days 00:28:57
NU_2,08:13:10,0 days 00:30:41
BR_2,08:15:52,0 days 00:33:23
UQ_1,08:18:13,0 days 00:35:44
CJD_1,08:19:32,0 days 00:37:03
ZQ_1,08:20:36,0 days 00:38:07
DEE_1,08:22:50,0 days 00:40:21
DNV_1,08:24:23,0 days 00:41:54
BAZ_1,08:25:03,0 days 00:42:34
AJZ_1,08:27:20,0 days 00:44:51
AAJ_1,08:28:38,0 days 00:46:09
AZO_1,08:29:40,0 days 00:47:11
JU_1,08:30:18,0 days 00:47:49
DPK_1,08:30:45,0 days 00:48:16
BVF_1,08:33:08,0 days 00:50:39
BBE_1,08:34:58,0 days 00:52:29
CKY_1,08:36:26,0 days 00:53:57
DMF_1,08:38:14,0 days 00:55:45
MN_1,08:41:04,0 days 00:58:35
CNX_1,08:42:17,0 days 00:59:48
ARU_1,08:43:47,0 days 01:01:18
ARM_1,08:45:41,0 days 01:03:12
BLL_1,08:48:11,0 days 01:05:42
VD_1,08:48:57,0 days 01:06:28
ASL_1,08:50:39,0 days 01:08:10
CII_1,08:52:15,0 days 01:09:46
DEX_1,08:53:38,0 days 01:11:09
ARC_1,08:54:24,0 days 01:11:55
EC_1,08:58:40,0 days 01:16:11
DZD_1,09:01:01,0 days 01:18:32
CZE_1,09:04:33,0 days 01:22:04
N_1,09:06:58,0 days 01:24:29
AB_1,09:08:33,0 days 01:26:04
ELG_1,09:10:15,0 days 01:27:46
AXM_1,09:10:53,0 days 01:28:24
BZW_1,09:14:38,0 days 01:32:09
AXX_1,09:15:37,0 days 01:33:08
BE_1,09:16:26,0 days 01:33:57
CRG_1,09:20:36,0 days 01:38:07
AYX_1,11:35:50,0 days 00:48:30
ERX_1,17:39:13,0 days 00:14:54
ASJ_1,18:21:14,0 days 00:21:17
