Stop_stn,Ride_time,sub
FX_2,07:06:43,0 days 00:00:00
VQ_1,07:11:40,0 days 00:04:57
EOZ_1,07:13:15,0 days 00:06:32
DAF_1,07:15:12,0 days 00:08:29
FB_1,07:16:48,0 days 00:10:05
GZ_1,07:17:58,0 days 00:11:15
DXY_1,07:20:32,0 days 00:13:49
DKA_1,07:27:08,0 days 00:20:25
CBT_1,07:29:48,0 days 00:23:05
ADU_1,07:31:03,0 days 00:24:20
DEJ_1,07:32:19,0 days 00:25:36
CNG_1,07:33:18,0 days 00:26:35
CDM_1,07:35:01,0 days 00:28:18
AMS_1,07:36:22,0 days 00:29:39
BGM_1,07:36:56,0 days 00:30:13
SF_1,07:38:23,0 days 00:31:40
AUZ_1,07:39:21,0 days 00:32:38
BZC_1,07:40:13,0 days 00:33:30
DPU_1,07:42:14,0 days 00:35:31
HO_2,07:48:37,0 days 00:41:54
NN_1,07:51:21,0 days 00:44:38
BH_3,07:54:07,0 days 00:47:24
BSU_1,07:56:18,0 days 00:49:35
DD_2,07:57:39,0 days 00:50:56
DXJ_1,07:58:03,0 days 00:51:20
