Stop_stn,Ride_time,sub
FKY_1,14:02:53,0 days 00:00:00
ETH_1,14:06:37,0 days 00:03:44
EMQ_1,14:07:48,0 days 00:04:55
EWB_1,14:08:35,0 days 00:05:42
CYW_1,14:09:52,0 days 00:06:59
YQ_1,14:11:35,0 days 00:08:42
AZL_1,14:12:25,0 days 00:09:32
FFI_1,14:14:05,0 days 00:11:12
CD_1,14:16:38,0 days 00:13:45
BWI_1,14:17:37,0 days 00:14:44
PQ_1,14:18:29,0 days 00:15:36
BB_1,14:20:59,0 days 00:18:06
CIK_1,14:22:30,0 days 00:19:37
BL_1,14:23:19,0 days 00:20:26
AGD_1,14:24:47,0 days 00:21:54
ESP_1,14:25:56,0 days 00:23:03
AUK_1,14:27:24,0 days 00:24:31
ON_2,14:28:41,0 days 00:25:48
BUN_1,14:30:19,0 days 00:27:26
ELS_1,14:31:57,0 days 00:29:04
BQL_1,14:32:43,0 days 00:29:50
OT_1,14:33:39,0 days 00:30:46
V_2,14:36:26,0 days 00:33:33
Q_3,14:37:15,0 days 00:34:22
WZ_1,14:38:02,0 days 00:35:09
AR_1,14:38:42,0 days 00:35:49
DLS_1,15:15:21,0 days 00:09:51
DYO_1,15:18:59,0 days 00:13:12
BPS_1,15:39:18,0 days 00:33:34
