Stop_stn,Ride_time,sub
FX_2,17:45:25,0 days 00:00:00
AHE_1,17:50:32,0 days 00:05:07
DPL_1,17:52:00,0 days 00:06:35
CLF_1,17:52:52,0 days 00:07:27
ADX_1,17:54:44,0 days 00:09:19
BOV_1,17:55:47,0 days 00:10:22
BLF_1,17:57:38,0 days 00:12:13
ANZ_1,18:00:09,0 days 00:14:44
HH_2,18:02:21,0 days 00:16:56
EUL_1,18:04:01,0 days 00:18:36
AYK_1,18:05:12,0 days 00:19:47
BNM_1,18:08:07,0 days 00:22:42
KU_2,18:10:01,0 days 00:24:36
GM_2,18:11:46,0 days 00:26:21
CTN_1,18:13:02,0 days 00:27:37
CWB_1,18:14:59,0 days 00:29:34
BBB_1,18:16:44,0 days 00:31:19
AGN_1,18:17:19,0 days 00:31:54
VQ_1,18:29:39,0 days 00:44:14
ATR_1,18:31:56,0 days 00:46:31
EKI_1,18:33:34,0 days 00:48:09
CCC_1,18:34:35,0 days 00:49:10
DMS_1,18:36:53,0 days 00:51:28
DXX_1,18:38:53,0 days 00:53:28
CPM_1,18:39:55,0 days 00:54:30
NN_1,18:41:19,0 days 00:55:54
NN_2,18:42:46,0 days 00:57:21
DBY_1,18:43:46,0 days 00:58:21
BF_2,18:44:38,0 days 00:59:13
ZO_1,18:46:32,0 days 01:01:07
PU_2,18:49:08,0 days 01:03:43
DXJ_1,18:49:57,0 days 01:04:32
