Stop_stn,Ride_time,sub
BRL_1,06:53:32,0 days 00:00:00
GN_1,06:58:18,0 days 00:04:46
CI_3,06:59:41,0 days 00:06:09
ECA_1,07:00:51,0 days 00:07:19
AUU_1,07:01:56,0 days 00:08:24
DSP_1,07:02:41,0 days 00:09:09
AWI_1,07:03:20,0 days 00:09:48
APD_1,07:05:42,0 days 00:12:10
CEU_1,07:07:01,0 days 00:13:29
CFJ_1,07:09:12,0 days 00:15:40
FOU_1,07:13:45,0 days 00:20:13
BCX_1,07:14:58,0 days 00:21:26
BVA_1,07:16:34,0 days 00:23:02
DXA_1,07:18:13,0 days 00:24:41
DNM_1,07:20:03,0 days 00:26:31
BLU_1,07:20:31,0 days 00:26:59
BP_2,07:22:01,0 days 00:28:29
AL_3,07:23:08,0 days 00:29:36
EZF_1,07:24:12,0 days 00:30:40
EZB_1,07:27:33,0 days 00:34:01
TG_1,07:28:39,0 days 00:35:07
EAH_1,07:30:33,0 days 00:37:01
AES_1,07:33:48,0 days 00:40:16
A_7,07:35:49,0 days 00:42:17
EZL_1,07:37:52,0 days 00:44:20
EXD_1,07:40:27,0 days 00:46:55
DFY_1,07:43:57,0 days 00:50:25
BBL_1,07:45:38,0 days 00:52:06
BAR_1,07:47:06,0 days 00:53:34
BFP_1,07:48:12,0 days 00:54:40
DFK_1,07:49:13,0 days 00:55:41
AQH_1,07:50:44,0 days 00:57:12
CJR_1,07:52:06,0 days 00:58:34
EMV_1,07:53:36,0 days 01:00:04
BSV_1,07:55:02,0 days 01:01:30
EXC_1,08:00:17,0 days 01:06:45
EXR_1,08:01:31,0 days 01:07:59
AWO_1,08:02:59,0 days 01:09:27
VE_1,08:06:14,0 days 01:12:42
UW_1,08:09:41,0 days 01:16:09
AOP_1,08:11:02,0 days 01:17:30
EZG_1,08:11:39,0 days 01:18:07
AQU_1,08:14:08,0 days 01:20:36
JI_2,08:14:18,0 days 01:20:46
AOK_1,08:16:27,0 days 01:22:55
FY_2,08:17:53,0 days 01:24:21
AUV_1,08:18:30,0 days 01:24:58
BYR_1,08:19:37,0 days 01:26:05
WS_1,08:20:11,0 days 01:26:39
FPJ_1,08:21:48,0 days 01:28:16
CFS_1,08:24:19,0 days 01:30:47
CES_1,08:25:02,0 days 01:31:30
CFN_1,08:27:36,0 days 01:34:04
EBB_1,08:28:35,0 days 01:35:03
AVM_1,08:29:39,0 days 01:36:07
ADD_1,08:31:49,0 days 01:38:17
AIX_1,08:32:19,0 days 01:38:47
CQJ_1,08:37:21,0 days 01:43:49
LR_2,08:38:47,0 days 01:45:15
AD_2,08:39:37,0 days 01:46:05
CJC_1,16:21:43,0 days 00:13:47
CHZ_1,16:27:05,0 days 00:20:20
CCM_1,17:03:49,0 days 00:56:30
DES_1,17:07:15,0 days 00:59:46
CK_3,17:12:14,0 days 01:04:21
DPS_1,18:44:27,0 days 02:00:53
