Stop_stn,Ride_time,sub
EDB_1,07:22:30,0 days 00:28:52
LU_2,07:52:51,0 days 01:00:46
BSJ_1,07:53:37,0 days 00:54:30
CWS_1,07:57:01,0 days 01:02:19
AK_1,08:16:15,0 days 00:16:06
ATJ_1,08:54:00,0 days 01:16:22
EV_2,18:05:32,0 days 00:00:00
OG_2,18:08:44,0 days 00:03:12
OG_1,18:10:29,0 days 00:04:57
AJ_2,18:11:37,0 days 00:06:05
ALO_1,18:14:13,0 days 00:08:41
EAC_1,18:15:00,0 days 00:09:28
ERX_1,18:17:08,0 days 00:11:36
CMC_1,18:18:09,0 days 00:12:37
ASJ_1,18:19:47,0 days 00:14:15
BDF_1,18:20:31,0 days 00:14:59
ARB_1,18:21:21,0 days 00:15:49
YD_1,18:22:35,0 days 00:17:03
DRU_1,18:24:48,0 days 00:19:16
MM_2,18:26:41,0 days 00:21:09
GA_2,18:29:05,0 days 00:23:33
BQC_1,18:29:52,0 days 00:24:20
ASY_1,18:31:12,0 days 00:25:40
IX_2,18:33:35,0 days 00:28:03
DQF_1,18:34:37,0 days 00:29:05
CRT_1,18:35:45,0 days 00:30:13
EZS_1,18:38:26,0 days 00:32:54
DBN_1,18:40:45,0 days 00:35:13
BYX_1,18:42:55,0 days 00:37:23
MP_1,18:44:25,0 days 00:38:53
APQ_1,18:45:01,0 days 00:39:29
K_4,18:47:32,0 days 00:42:00
AD_2,18:50:59,0 days 00:45:27
PP_1,18:52:13,0 days 00:46:41
BYV_1,18:53:26,0 days 00:47:54
AH_3,18:58:26,0 days 00:52:54
NP_2,18:59:51,0 days 00:54:19
DDZ_1,19:03:14,0 days 00:57:42
AA_3,19:04:57,0 days 00:59:25
VM_1,19:06:37,0 days 01:01:05
NO_2,19:07:52,0 days 01:02:20
BOS_1,19:10:18,0 days 01:04:46
EKM_1,19:11:32,0 days 01:06:00
BPF_1,19:14:18,0 days 01:08:46
