Stop_stn,Ride_time,sub
BUSPARK,15:02:31,0 days 00:00:00
DXP_1,15:07:39,0 days 00:05:08
DYI_1,15:11:28,0 days 00:08:57
EZ_1,15:13:56,0 days 00:11:25
DRP_1,15:16:06,0 days 00:13:35
BVG_1,15:17:42,0 days 00:15:11
ELV_1,15:19:26,0 days 00:16:55
AU_2,15:21:57,0 days 00:19:26
EUT_1,15:23:44,0 days 00:21:13
JH_2,15:24:55,0 days 00:22:24
AM_2,15:26:07,0 days 00:23:36
IN_1,15:27:23,0 days 00:24:52
CCW_1,15:29:02,0 days 00:26:31
FQ_1,15:31:17,0 days 00:28:46
BOK_1,15:32:11,0 days 00:29:40
BXP_1,15:34:11,0 days 00:31:40
EDA_1,15:35:26,0 days 00:32:55
TA_1,15:36:59,0 days 00:34:28
LI_1,15:39:43,0 days 00:37:12
