Stop_stn,Ride_time,sub
CPH_1,07:30:11,0 days 00:00:00
CWR_1,07:32:52,0 days 00:02:41
BTE_1,07:33:53,0 days 00:03:42
NR_2,07:34:59,0 days 00:04:48
HL_2,07:36:25,0 days 00:06:14
CJI_1,07:38:54,0 days 00:08:43
DG_2,07:39:53,0 days 00:09:42
BIS_1,07:42:01,0 days 00:11:50
DOP_1,07:44:08,0 days 00:13:57
PV_2,07:44:59,0 days 00:14:48
WB_1,07:50:24,0 days 00:20:13
BET_1,07:51:21,0 days 00:21:10
EJT_1,07:54:22,0 days 00:24:11
EAI_1,07:56:30,0 days 00:26:19
LQ_2,08:09:42,0 days 00:39:31
ADC_1,08:12:15,0 days 00:42:04
BEW_1,08:14:27,0 days 00:44:16
IP_2,08:16:33,0 days 00:46:22
CBU_1,08:17:49,0 days 00:47:38
ENW_1,08:20:14,0 days 00:50:03
CTI_1,08:23:51,0 days 00:53:40
DBB_1,08:28:30,0 days 00:58:19
ADI_1,08:30:39,0 days 01:00:28
