Stop_stn,Ride_time,sub
EDE_1,07:13:18,0 days 00:00:00
EJR_1,07:18:00,0 days 00:04:42
OC_1,07:19:17,0 days 00:05:59
FAT_1,07:22:29,0 days 00:09:11
DYD_1,07:27:13,0 days 00:13:55
L_4,07:39:19,0 days 00:26:01
DVS_1,07:40:30,0 days 00:27:12
AMG_1,07:43:01,0 days 00:29:43
BHN_1,07:46:14,0 days 00:32:56
AXD_1,07:48:14,0 days 00:34:56
FMM_1,07:50:26,0 days 00:37:08
BNM_1,07:54:57,0 days 00:41:39
BEO_1,07:58:49,0 days 00:45:31
AZQ_1,08:01:50,0 days 00:48:32
BXM_1,08:03:51,0 days 00:50:33
BBF_1,08:05:36,0 days 00:52:18
CTY_1,08:07:18,0 days 00:54:00
ARE_1,08:13:05,0 days 00:59:47
BIO_1,08:15:38,0 days 01:02:20
EFP_1,08:18:28,0 days 01:05:10
FKA_1,08:23:18,0 days 01:10:00
EYL_1,08:25:16,0 days 01:11:58
FPO_1,08:26:17,0 days 01:12:59
DYK_1,08:28:53,0 days 01:15:35
FPU_1,08:31:50,0 days 01:18:32
