Stop_stn,Ride_time,sub
CGJ_1,17:56:47,0 days 00:00:00
CZE_1,17:58:52,0 days 00:02:05
IO_1,17:59:17,0 days 00:36:59
N_1,18:00:51,0 days 00:04:04
EOV_1,18:02:00,0 days 00:05:13
BHA_1,18:02:25,0 days 00:05:38
EIA_1,18:04:09,0 days 00:07:22
ABA_1,18:05:25,0 days 00:08:38
ECD_1,18:06:48,0 days 00:10:01
CYX_1,18:08:31,0 days 00:11:44
FEB_1,18:12:34,0 days 00:15:47
AG_1,18:15:13,0 days 00:18:26
IH_1,18:16:13,0 days 00:19:26
AJO_1,18:17:34,0 days 00:20:47
DZL_1,18:19:26,0 days 00:22:39
CF_1,18:20:36,0 days 00:23:49
MR_1,18:25:15,0 days 00:28:28
CJS_1,18:26:04,0 days 00:29:17
AC_1,18:27:52,0 days 00:31:05
BBU_1,18:30:03,0 days 00:33:16
DDR_1,18:31:00,0 days 00:34:13
AY_1,18:31:45,0 days 00:34:58
AOH_1,18:34:33,0 days 00:37:46
CKL_1,18:39:01,0 days 00:42:14
KN_1,18:42:48,0 days 00:46:01
C_1,18:45:03,0 days 00:48:16
ELG_1,18:47:23,0 days 00:50:36
AXM_1,18:48:13,0 days 00:51:26
COB_1,18:51:33,0 days 00:54:46
ALX_1,18:54:39,0 days 00:57:52
QT_1,18:55:53,0 days 00:59:06
DAV_1,18:58:55,0 days 01:02:08
FM_1,18:59:47,0 days 01:03:00
PG_2,19:02:14,0 days 01:05:27
FIR_1,19:04:51,0 days 01:08:04
