Stop_stn,Ride_time,sub
BRG_1,06:57:56,0 days 00:00:00
EIF_1,07:01:21,0 days 00:03:25
FV_1,07:04:18,0 days 00:06:22
CYF_1,07:06:32,0 days 00:08:36
DSD_1,07:07:46,0 days 00:09:50
NV_2,07:10:54,0 days 00:12:58
EHH_1,07:12:09,0 days 00:14:13
NR_1,07:13:37,0 days 00:15:41
BMY_1,07:16:48,0 days 00:18:52
DIR_1,07:17:53,0 days 00:19:57
EAJ_1,07:20:15,0 days 00:22:19
AMJ_1,07:43:26,0 days 00:45:30
BKH_1,07:44:48,0 days 00:46:52
ARO_1,07:46:02,0 days 00:48:06
DDD_1,07:47:21,0 days 00:49:25
CVE_1,07:49:21,0 days 00:51:25
CTO_1,07:51:39,0 days 00:53:43
AJI_1,07:52:50,0 days 00:54:54
BDI_1,07:54:34,0 days 00:56:38
CRD_1,07:55:58,0 days 00:58:02
LQ_2,07:57:29,0 days 00:59:33
