Stop_stn,Ride_time,sub
BUSPARK,07:04:34,0 days 00:00:00
VE_1,07:15:08,0 days 00:43:15
GY_2,07:29:21,0 days 00:24:47
BAC_1,07:34:34,0 days 00:30:00
CMV_1,07:35:50,0 days 00:31:16
CYB_1,07:38:56,0 days 00:34:22
BOJ_1,07:42:02,0 days 00:37:28
DVF_1,07:44:33,0 days 00:39:59
AJD_1,07:45:35,0 days 00:41:01
CPW_1,07:46:19,0 days 00:41:45
DOU_1,07:48:00,0 days 00:43:26
EWV_1,07:49:12,0 days 00:44:38
CAG_1,07:49:51,0 days 00:45:17
CMN_1,07:50:37,0 days 00:46:03
CZY_1,07:55:19,0 days 00:50:45
UK_1,07:57:36,0 days 00:53:02
XJ_1,07:59:43,0 days 00:55:09
AQJ_1,08:01:39,0 days 00:57:05
DEB_1,08:04:00,0 days 00:59:26
CNW_1,08:04:45,0 days 01:00:11
CSJ_1,08:05:52,0 days 01:01:18
AWK_1,08:06:31,0 days 01:01:57
EOH_1,08:07:48,0 days 01:03:14
EMT_1,08:08:53,0 days 01:04:19
FBU_1,08:10:33,0 days 01:05:59
DMU_1,08:12:44,0 days 01:08:10
ALS_1,08:14:58,0 days 01:10:24
EAG_1,08:17:59,0 days 01:13:25
DXO_1,08:20:54,0 days 01:16:20
FA_2,08:21:37,0 days 01:17:03
AKB_1,08:22:40,0 days 01:49:21
EZI_1,08:23:07,0 days 01:18:33
X_1,08:24:52,0 days 01:20:18
AKY_1,08:27:26,0 days 01:22:52
BLL_1,08:28:25,0 days 01:23:51
VD_1,08:30:12,0 days 01:25:38
ASL_1,08:31:56,0 days 01:27:22
CFP_1,08:34:00,0 days 01:29:26
DEX_1,08:36:45,0 days 01:32:11
ARC_1,08:38:07,0 days 01:33:33
EC_2,08:42:12,0 days 01:37:38
ESN_1,08:43:59,0 days 01:39:25
AJY_1,08:45:09,0 days 01:40:35
DUQ_1,08:45:55,0 days 01:41:21
LG_1,08:46:48,0 days 01:42:14
COC_1,08:48:35,0 days 01:44:01
BOA_1,08:49:36,0 days 01:45:02
AF_1,08:51:39,0 days 01:47:05
AG_1,08:53:16,0 days 01:48:42
OR_1,08:56:05,0 days 01:51:31
BBC_1,08:58:33,0 days 01:53:59
BWP_1,09:00:40,0 days 01:56:06
DXK_1,09:01:54,0 days 01:57:20
CK_1,09:03:57,0 days 01:59:23
AWN_1,09:05:11,0 days 02:00:37
BZY_1,09:11:29,0 days 02:06:55
DJI_1,09:13:19,0 days 02:08:45
KM_1,09:16:28,0 days 02:11:54
CFG_1,09:17:56,0 days 02:13:22
EA_1,09:20:05,0 days 02:15:31
AVO_1,09:20:48,0 days 02:16:14
ALB_1,09:21:42,0 days 02:17:08
BU_1,09:22:56,0 days 02:18:22
EFN_1,09:25:59,0 days 02:21:25
ETD_1,09:28:08,0 days 02:23:34
EWN_1,09:30:38,0 days 02:26:04
DVU_1,09:31:32,0 days 02:26:58
AR_1,09:33:48,0 days 02:29:14
FKY_1,09:35:40,0 days 02:31:06
IH_1,17:25:40,0 days 01:15:38
EHU_1,17:43:39,0 days 01:34:09
ETG_1,17:57:26,0 days 01:47:52
EUC_1,17:58:50,0 days 01:47:52
