Stop_stn,Ride_time,sub
TC_1,16:03:05,0 days 00:09:11
AOG_1,17:04:33,0 days 00:00:00
CSH_1,17:08:32,0 days 00:03:59
AGV_1,17:10:47,0 days 00:06:14
EU_2,17:13:12,0 days 00:08:39
YK_1,17:14:50,0 days 00:10:17
BJB_1,17:16:17,0 days 00:11:44
BKV_1,17:18:08,0 days 00:13:35
FKZ_1,17:20:21,0 days 00:15:48
BY_2,17:21:29,0 days 00:16:56
DI_1,17:22:21,0 days 00:17:48
GB_1,17:23:30,0 days 00:18:57
GB_2,17:24:38,0 days 00:20:05
AU_1,17:25:48,0 days 00:21:15
EFQ_1,17:27:06,0 days 00:22:33
TI_1,17:29:06,0 days 00:24:33
ASZ_1,17:31:10,0 days 00:26:37
HS_1,17:32:24,0 days 00:27:51
P_1,17:34:02,0 days 00:29:29
CIE_1,17:36:24,0 days 00:31:51
NC_1,17:38:07,0 days 00:33:34
K_1,17:41:08,0 days 00:36:35
DDS_1,17:42:20,0 days 00:37:47
ATV_1,17:44:13,0 days 00:39:40
HJ_1,17:46:05,0 days 00:41:32
BZB_1,17:47:44,0 days 00:43:11
ABJ_1,17:51:31,0 days 00:46:58
ANS_1,17:52:55,0 days 00:48:22
ANL_1,17:54:10,0 days 00:49:37
EWX_1,17:56:29,0 days 00:51:56
EOL_1,17:57:21,0 days 00:52:48
DVY_1,17:59:09,0 days 00:54:36
CPO_1,18:00:54,0 days 00:56:21
DCO_1,18:03:43,0 days 00:59:10
CFH_1,18:05:26,0 days 01:00:53
FCF_1,18:06:57,0 days 01:02:24
BGU_1,18:07:42,0 days 01:03:09
FAV_1,18:09:13,0 days 01:04:40
DDI_1,18:10:20,0 days 01:05:47
FBF_1,18:10:51,0 days 01:06:18
PE_1,18:13:26,0 days 01:08:53
DZS_1,18:14:17,0 days 01:09:44
BT_1,18:14:45,0 days 01:10:12
CY_2,18:15:53,0 days 01:11:20
EEH_1,18:16:50,0 days 01:12:17
FCI_1,18:20:13,0 days 01:15:40
