Stop_stn,Ride_time,sub
DXP_1,07:45:16,0 days 00:00:00
CW_1,07:48:16,0 days 00:03:00
BR_1,07:51:00,0 days 00:05:44
AVI_1,07:52:52,0 days 00:07:36
CUW_1,07:53:55,0 days 00:08:39
GW_1,07:54:53,0 days 00:09:37
DTF_1,07:56:19,0 days 00:11:03
LS_1,07:57:00,0 days 00:11:44
CPK_1,07:59:26,0 days 00:14:10
DSA_1,08:02:14,0 days 00:16:58
EJL_1,08:03:23,0 days 00:18:07
NR_1,08:05:54,0 days 00:20:38
DTV_1,08:07:21,0 days 00:22:05
AFU_1,08:11:02,0 days 00:25:46
DUP_1,08:12:09,0 days 00:26:53
AZD_1,08:13:00,0 days 00:27:44
AP_1,08:15:28,0 days 00:30:12
EAZ_1,08:20:22,0 days 00:35:06
AFF_1,08:21:43,0 days 00:36:27
JJ_1,08:23:15,0 days 00:37:59
ANN_1,08:24:20,0 days 00:39:04
FL_1,08:26:16,0 days 00:41:00
BH_2,08:28:06,0 days 00:42:50
BGH_1,18:16:24,0 days 00:20:00
BHW_1,18:33:39,0 days 00:37:23
