Stop_stn,Ride_time,sub
AE_4,08:46:11,0 days 00:09:10
AUJ_1,09:12:58,0 days 00:34:14
BRL_1,14:55:32,0 days 00:00:00
AD_1,15:00:32,0 days 00:05:00
EG_2,15:05:04,0 days 00:09:32
CGI_1,15:06:28,0 days 00:10:56
AO_3,15:07:27,0 days 00:11:55
DXS_1,15:08:31,0 days 00:12:59
ERK_1,15:11:00,0 days 00:15:28
DER_1,15:12:21,0 days 00:16:49
UF_1,15:13:14,0 days 00:17:42
DSB_1,15:13:39,0 days 00:18:07
DHZ_1,15:15:13,0 days 00:19:41
CIN_1,15:16:33,0 days 00:21:01
CRA_1,15:17:09,0 days 00:21:37
BHR_1,15:18:15,0 days 00:22:43
EAE_1,15:18:54,0 days 00:23:22
IL_1,15:19:53,0 days 00:24:21
EVF_1,15:20:42,0 days 00:25:10
BBJ_1,15:22:39,0 days 00:27:07
IL_2,15:23:16,0 days 00:27:44
CJY_1,15:26:20,0 days 00:30:48
AK_3,15:27:03,0 days 00:31:31
AWZ_1,15:29:23,0 days 00:33:51
BQK_1,15:29:59,0 days 00:34:27
CFR_1,15:30:40,0 days 00:35:08
AI_2,15:33:48,0 days 00:38:16
FD_2,17:26:03,0 days 00:44:03
FNA_1,19:33:07,0 days 00:08:11
ADO_1,19:53:32,0 days 00:27:24
