Stop_stn,Ride_time,sub
ASJ_1,05:38:05,0 days 00:11:33
AFV_1,06:02:06,0 days 00:34:19
BGQ_1,06:03:00,0 days 00:29:53
DIL_1,06:42:31,0 days 00:43:52
BIW_1,06:59:16,0 days 01:01:55
EV_2,07:13:01,0 days 00:00:00
ENH_1,07:18:08,0 days 00:05:07
AJ_2,07:21:10,0 days 00:08:09
ALO_1,07:23:34,0 days 00:10:33
EAC_1,07:24:51,0 days 00:11:50
BDF_1,07:28:47,0 days 00:15:46
ARB_1,07:29:39,0 days 00:16:38
YD_1,07:31:36,0 days 00:18:35
DRU_1,07:34:07,0 days 00:21:06
MM_2,07:36:41,0 days 00:23:40
EDB_1,07:39:12,0 days 00:26:11
GA_2,07:40:01,0 days 00:27:00
BQC_1,07:40:51,0 days 00:27:50
NU_2,07:42:40,0 days 00:29:39
UQ_1,07:48:36,0 days 00:35:35
CJD_1,07:50:25,0 days 00:37:24
ZQ_1,07:53:34,0 days 00:40:33
VH_1,07:57:35,0 days 00:44:34
AVH_1,08:00:00,0 days 00:46:59
CZD_1,08:06:41,0 days 00:53:40
CLL_1,08:07:49,0 days 00:54:48
BEB_1,08:08:49,0 days 00:55:48
FLB_1,08:13:37,0 days 01:00:36
BRQ_1,08:14:16,0 days 01:01:15
DDO_1,08:15:16,0 days 01:02:15
BMP_1,08:16:22,0 days 01:03:21
AVG_1,08:19:03,0 days 01:06:02
CQU_1,08:19:55,0 days 01:06:54
DBK_1,08:20:44,0 days 01:07:43
ASB_1,08:21:53,0 days 01:08:52
DTJ_1,08:22:19,0 days 01:09:18
AWF_1,08:23:13,0 days 01:10:12
HB_1,08:26:08,0 days 01:13:07
JG_1,08:28:35,0 days 01:15:34
DYV_1,08:29:48,0 days 01:16:47
CCZ_1,08:30:51,0 days 01:17:50
BTG_1,08:37:07,0 days 01:24:06
BH_2,08:38:11,0 days 01:25:10
DXP_1,08:40:59,0 days 01:27:58
BR_2,08:50:56,0 days 00:39:08
FKF_1,09:00:57,0 days 00:45:12
DGV_1,09:17:35,0 days 01:01:56
DAU_1,09:25:57,0 days 01:09:45
CKT_1,09:28:54,0 days 01:14:13
CYK_1,09:39:35,0 days 00:08:06
CMC_1,09:47:20,0 days 00:19:05
AK_1,09:51:18,0 days 00:19:20
ERX_1,14:16:57,0 days 00:14:16
